date,open,high,low,close,volume
2021-01-04,175.99,177.37,170.53,173.21,91732
2021-01-05,172.05,177.12,172.05,176.11,66090
2021-01-06,179.34,191.26,179.34,189.53,204884
2021-01-07,190.60,195.00,188.01,194.50,143758
2021-01-08,195.23,195.23,190.00,191.58,149689
2021-01-11,189.85,200.00,189.85,199.61,148419
2021-01-12,200.59,209.57,200.59,206.20,233700
2021-01-13,206.35,210.00,204.95,209.40,303683
2021-01-14,209.40,212.39,207.50,208.34,215814
2021-01-15,206.34,208.05,201.42,207.59,135709
2021-01-19,208.72,215.00,208.40,214.86,217234
2021-01-20,216.12,217.33,211.56,211.94,260985
2021-01-21,211.79,213.72,206.82,208.93,104330
2021-01-22,207.71,209.51,205.28,208.75,153531
2021-01-25,208.58,211.18,205.11,209.00,144297
2021-01-26,209.46,209.46,202.11,202.54,85067
2021-01-27,198.21,201.44,193.10,194.55,187481
2021-01-28,196.23,196.42,193.02,195.66,137615
2021-01-29,195.00,195.00,191.13,192.92,146323
2021-02-01,195.01,195.57,192.40,195.09,203023
2021-02-02,197.66,205.11,195.91,205.10,173596
2021-02-03,204.63,208.76,203.97,206.66,166382
2021-02-04,209.04,209.04,206.01,208.57,112738
2021-02-05,210.25,212.71,207.25,212.42,133806
2021-02-08,214.69,220.42,213.97,220.03,144563
2021-02-09,221.21,221.21,217.93,219.09,163802
2021-02-10,220.01,221.96,216.84,221.10,156576
2021-02-11,222.67,224.21,221.06,223.22,191754
2021-02-12,222.73,225.47,221.66,225.00,106255
2021-02-16,225.46,229.55,224.79,226.82,143246
2021-02-17,225.22,226.22,222.41,225.33,211737
2021-02-18,223.65,228.00,222.06,224.54,437304
2021-02-19,224.70,236.84,222.67,231.34,604454
2021-02-22,228.47,236.72,224.00,230.41,249717
2021-02-23,228.34,230.90,222.82,230.55,110489
2021-02-24,230.97,238.33,227.30,238.00,187926
2021-02-25,237.27,238.99,232.55,237.23,275731
2021-02-26,237.81,239.31,233.02,236.53,256507
2021-03-01,240.00,246.63,239.32,244.62,196626
2021-03-02,245.16,245.16,239.54,240.85,215558
2021-03-03,241.07,243.98,237.32,237.78,165176
2021-03-04,235.82,236.98,224.33,227.39,179310
2021-03-05,230.84,233.77,222.62,233.56,165471
2021-03-08,234.50,243.79,232.98,243.04,197358
2021-03-09,245.07,246.50,237.79,238.30,114210
2021-03-10,238.74,244.47,238.21,243.89,114788
2021-03-11,246.50,248.91,244.07,245.88,101465
2021-03-12,245.36,248.95,245.19,248.51,132634
2021-03-15,248.52,248.63,243.56,248.28,109395
2021-03-16,248.34,251.63,245.80,247.46,118645
2021-03-17,247.80,248.07,243.49,245.23,170725
2021-03-18,245.70,248.54,241.25,242.37,142242
2021-03-19,240.97,243.00,238.21,240.10,344921
2021-03-22,239.80,239.80,234.38,237.24,132557
2021-03-23,234.89,235.40,228.54,229.97,104931
2021-03-24,231.64,237.63,230.00,231.61,78181
2021-03-25,230.02,237.62,227.47,236.39,100972
2021-03-26,238.86,242.97,236.45,242.81,112356
2021-03-29,243.78,245.59,235.78,235.99,106307
2021-03-30,235.64,238.82,231.84,238.08,133656
2021-03-31,239.68,242.93,235.90,237.67,104422
2021-04-01,240.33,242.59,238.78,241.69,100345
2021-04-05,244.62,244.62,240.06,240.96,91867
2021-04-06,241.49,244.76,239.80,240.81,134523
2021-04-07,240.06,240.06,233.42,233.98,117056
2021-04-08,233.23,233.41,230.02,232.71,172654
2021-04-09,233.75,236.74,230.96,236.34,102388
2021-04-12,236.75,237.83,234.56,235.30,91199
2021-04-13,235.87,235.87,229.86,232.73,67513
2021-04-14,233.42,236.48,233.42,235.06,41237
2021-04-15,235.87,235.87,230.69,231.78,176249
2021-04-16,234.83,239.37,234.75,237.68,94190
2021-04-19,238.38,238.70,233.86,236.31,79806
2021-04-20,234.61,236.72,229.30,230.39,105441
2021-04-21,229.45,239.29,229.45,238.74,149039
2021-04-22,235.90,238.99,227.02,232.95,222325
2021-04-23,236.12,243.69,235.11,242.27,112486
2021-04-26,244.62,246.86,243.20,243.52,66547
2021-04-27,244.13,246.10,243.22,245.56,74175
2021-04-28,246.71,248.48,245.11,246.47,77020
2021-04-29,248.61,248.61,243.65,247.09,87166
2021-04-30,245.47,247.75,243.40,246.85,202518
2021-05-03,249.64,251.76,246.98,248.26,138115
2021-05-04,246.57,251.03,245.49,250.91,72708
2021-05-05,254.17,254.17,248.35,253.32,64627
2021-05-06,254.84,260.08,252.98,256.29,173692
2021-05-07,254.44,262.23,254.44,262.02,113010
2021-05-10,262.69,265.09,256.67,256.72,190193
2021-05-11,253.02,260.32,253.02,259.82,127344
2021-05-12,259.21,260.27,245.54,246.62,190645
2021-05-13,247.79,255.07,247.79,251.31,123392
2021-05-14,253.93,257.49,252.87,254.06,89059
2021-05-17,252.75,260.20,250.66,259.38,99215
2021-05-18,259.87,261.95,251.61,252.02,79803
2021-05-19,249.22,249.22,243.92,247.64,157342
2021-05-20,246.65,246.65,242.70,243.75,159476
2021-05-21,246.36,248.66,243.06,244.53,274603
2021-05-24,246.86,250.57,244.45,246.14,93520
2021-05-25,246.30,247.58,244.03,246.42,117519
2021-05-26,246.84,250.86,245.33,248.40,113873
2021-05-27,251.08,251.97,247.07,248.07,213467
2021-05-28,249.10,249.77,242.93,248.00,154334
2021-06-01,250.66,257.99,249.51,255.73,130425
2021-06-02,256.00,257.54,250.46,251.94,168461
2021-06-03,250.09,253.54,248.75,253.14,125452
2021-06-04,255.02,255.90,249.65,252.71,93493
2021-06-07,252.95,252.95,245.07,246.73,162967
2021-06-08,246.27,246.46,243.32,243.32,159841
2021-06-09,242.89,244.20,239.42,240.68,228916
2021-06-10,242.49,243.26,233.25,234.11,143721
2021-06-11,235.71,238.50,233.58,236.00,132044
2021-06-14,236.05,236.16,232.76,233.98,109228
2021-06-15,234.45,236.26,233.50,236.09,91555
2021-06-16,234.80,234.80,230.77,231.33,100933
2021-06-17,231.39,231.95,221.65,224.42,148600
2021-06-18,221.10,223.17,219.13,220.33,224972
2021-06-21,221.16,229.47,221.16,228.95,114685
2021-06-22,228.73,229.85,226.00,228.30,98047
2021-06-23,228.01,230.48,226.95,228.27,66406
2021-06-24,229.94,232.62,227.85,231.35,91010
2021-06-25,232.39,236.28,232.39,235.93,224921
2021-06-28,236.79,236.79,229.69,231.46,101245
2021-06-29,232.39,234.25,230.23,230.39,88620
2021-06-30,229.37,236.82,228.62,236.05,101595
2021-07-01,238.14,238.98,235.51,236.01,88742
2021-07-02,236.41,236.41,233.03,234.14,83121
2021-07-06,234.00,234.00,227.22,230.00,104216
2021-07-07,228.86,232.74,228.86,231.50,82783
2021-07-08,227.67,230.50,225.25,226.80,66882
2021-07-09,230.49,233.75,230.49,232.84,58961
2021-07-12,230.50,235.56,229.50,235.55,97591
2021-07-13,234.04,234.54,231.51,231.60,72616
2021-07-14,233.23,234.40,228.51,229.72,60422
2021-07-15,228.00,229.28,223.69,226.28,106507
2021-07-16,228.84,228.84,223.51,223.83,94114
2021-07-19,220.30,222.00,216.50,220.88,91277
2021-07-20,222.23,229.59,222.23,227.48,116530
2021-07-21,229.90,232.50,228.87,229.70,88112
2021-07-22,228.56,233.56,223.98,229.21,198287
2021-07-23,232.30,233.66,229.55,233.11,117889
2021-07-26,233.35,234.60,229.48,229.77,91570
2021-07-27,228.40,231.10,225.72,228.86,81606
2021-07-28,229.30,235.37,227.13,232.53,96115
2021-07-29,235.16,237.24,232.39,235.80,58980
2021-07-30,234.48,238.37,234.48,236.95,71300
2021-08-02,238.57,243.62,233.35,233.75,73445
2021-08-03,234.79,239.28,230.50,237.89,71793
2021-08-04,236.18,238.26,234.64,235.00,65582
2021-08-05,237.38,239.30,236.03,237.73,45564
2021-08-06,241.13,243.23,238.73,239.39,45871
2021-08-09,239.66,244.19,237.01,241.52,73059
2021-08-10,240.97,246.94,240.97,245.65,115946
2021-08-11,246.83,247.53,243.84,246.44,88556
2021-08-12,248.01,248.01,244.70,245.56,69704
2021-08-13,246.03,246.12,241.63,242.70,150788
2021-08-16,240.91,245.58,240.00,243.25,53423
2021-08-17,241.77,242.13,234.83,237.81,46124
2021-08-18,237.45,239.80,235.55,235.94,63084
2021-08-19,234.16,237.12,232.97,235.79,44918
2021-08-20,236.56,238.64,234.02,237.62,35422
2021-08-23,238.91,240.17,238.18,239.93,40368
2021-08-24,240.76,243.63,240.17,243.34,47314
2021-08-25,243.97,246.18,243.49,244.33,60667
2021-08-26,244.78,244.78,240.35,241.61,43225
2021-08-27,242.75,246.01,242.24,245.37,55011
2021-08-30,245.74,248.98,245.47,248.00,43391
2021-08-31,248.91,251.83,247.35,248.86,130476
2021-09-01,249.50,249.98,242.63,243.01,98287
2021-09-02,244.37,248.08,242.94,247.24,74109
2021-09-03,246.79,246.97,243.02,244.79,53263
2021-09-07,243.00,245.59,242.68,243.81,56492
2021-09-08,243.46,246.78,240.61,240.91,54419
2021-09-09,240.20,243.11,239.23,241.75,79093
2021-09-10,242.64,245.68,241.59,242.96,88098
2021-09-13,244.31,246.09,242.75,244.33,95548
2021-09-14,245.38,248.09,243.15,247.77,133192
2021-09-15,246.60,250.69,246.10,250.55,125587
2021-09-16,250.47,250.47,243.63,244.20,111947
2021-09-17,244.27,244.27,238.46,240.16,277070
2021-09-20,235.72,236.54,232.23,235.18,97827
2021-09-21,237.81,237.81,231.11,232.45,115880
2021-09-22,235.76,237.58,233.85,235.15,90584
2021-09-23,235.99,241.45,235.51,238.42,78953
2021-09-24,237.98,240.21,237.98,239.58,45153
2021-09-27,239.77,242.82,237.40,240.02,71072
2021-09-28,240.43,244.98,237.85,238.64,96776
2021-09-29,239.39,241.53,236.73,238.11,61191
2021-09-30,239.95,239.95,232.62,235.12,161079
2021-10-01,236.63,240.49,232.00,238.96,93843
2021-10-04,239.00,241.88,234.84,236.65,58592
2021-10-05,238.27,240.20,234.99,238.02,58353
2021-10-06,235.14,236.65,229.98,236.05,65684
2021-10-07,238.19,241.31,238.19,239.71,97379
2021-10-08,239.24,242.76,237.21,241.48,52258
2021-10-11,241.06,241.50,229.99,230.38,55337
2021-10-12,231.81,233.83,230.01,233.06,57357
2021-10-13,233.71,233.88,231.18,233.13,35604
2021-10-14,235.74,240.44,235.74,239.10,39360
2021-10-15,241.99,245.40,240.98,242.88,53272
2021-10-18,242.62,244.10,241.01,243.18,58137
2021-10-19,244.28,246.18,242.03,244.73,38133
2021-10-20,245.17,247.65,244.32,245.68,66833
2021-10-21,242.00,242.39,230.10,231.73,173587
2021-10-22,232.99,238.57,231.34,231.64,99691
2021-10-25,231.29,234.60,231.00,232.85,99414
2021-10-26,233.81,233.81,225.19,225.40,117135
2021-10-27,225.43,230.22,224.24,224.37,113594
2021-10-28,226.03,232.81,226.03,232.66,146762
2021-10-29,232.44,239.79,232.44,238.96,148576
2021-11-01,239.99,247.61,238.22,247.38,110249
2021-11-02,247.24,248.19,243.17,243.95,54708
2021-11-03,243.22,244.81,240.36,243.94,56384
2021-11-04,245.52,247.47,243.31,246.86,92349
2021-11-05,248.99,253.95,247.18,253.00,83335
2021-11-08,255.97,259.76,254.47,258.63,83060
2021-11-09,259.28,262.70,259.28,262.25,94512
2021-11-10,261.79,262.79,256.96,258.72,75519
2021-11-11,259.28,259.68,254.86,255.40,37237
2021-11-12,255.29,256.81,253.34,254.30,43652
2021-11-15,256.69,256.69,251.24,252.00,80388
2021-11-16,251.29,253.09,250.03,250.23,89120
2021-11-17,249.50,250.97,246.72,250.81,101857
2021-11-18,251.46,253.50,249.22,251.17,55615
2021-11-19,249.79,256.52,249.79,255.84,85512
2021-11-22,257.07,259.62,254.35,254.59,51687
2021-11-23,254.44,256.91,250.34,255.68,73954
2021-11-24,256.09,256.09,252.90,253.87,41854
2021-11-26,245.50,247.96,240.22,243.78,33692
2021-11-29,247.28,247.28,242.58,244.12,52137
2021-11-30,241.75,242.95,238.13,239.03,121414
2021-12-01,244.61,246.90,240.02,240.02,88929
2021-12-02,240.99,247.37,240.12,247.00,61084
2021-12-03,248.66,248.66,242.56,245.45,77222
2021-12-06,248.42,253.49,245.64,250.68,135821
2021-12-07,252.85,260.42,252.85,257.62,83439
2021-12-08,259.52,263.39,256.32,261.70,85059
2021-12-09,260.00,261.62,252.77,252.80,62762
2021-12-10,254.90,256.10,251.45,254.94,51775
2021-12-13,253.71,257.23,252.83,252.89,80803
2021-12-14,251.87,254.51,246.16,246.65,124720
2021-12-15,247.96,250.49,242.69,247.21,74434
2021-12-16,247.00,250.75,243.32,244.06,67548
2021-12-17,243.40,245.81,238.35,238.35,317843
2021-12-20,234.91,236.87,228.45,232.87,96876
2021-12-21,235.94,242.38,235.94,241.61,83342
2021-12-22,240.71,244.71,240.60,242.97,47833
2021-12-23,243.17,246.45,243.15,244.79,36599
2021-12-27,245.05,246.80,244.28,246.61,55933
2021-12-28,246.61,249.81,246.61,248.68,29176
2021-12-29,248.46,251.67,248.22,250.65,32515
2021-12-30,251.61,252.97,248.66,248.85,35170
2021-12-31,249.69,251.10,248.33,250.50,31742
2022-01-03,251.73,253.84,248.92,249.82,53583
2022-01-04,249.82,253.97,249.77,251.44,44554
2022-01-05,252.91,254.47,244.90,245.40,46916
2022-01-06,246.72,246.72,242.67,244.34,57485
2022-01-07,243.62,246.48,237.31,240.29,83025
2022-01-10,238.07,239.16,235.01,238.44,44600
2022-01-11,239.18,241.16,237.02,240.95,54181
2022-01-12,242.66,243.80,238.88,239.87,62707
2022-01-13,241.50,244.01,239.96,241.66,53374
2022-01-14,240.39,241.45,238.67,240.41,78932
2022-01-18,237.21,239.20,231.34,234.89,78310
2022-01-19,234.11,237.38,233.44,235.56,82465
2022-01-20,235.49,237.92,229.95,230.11,83774
2022-01-21,228.40,233.38,224.17,224.30,60126
2022-01-24,220.30,229.91,217.10,228.99,86044
2022-01-25,224.85,224.85,214.00,215.18,119375
2022-01-26,218.14,220.24,209.90,212.87,158117
2022-01-27,215.72,216.84,207.82,208.20,81504
2022-01-28,208.52,213.42,203.31,213.40,94109
2022-01-31,212.42,217.34,212.42,217.23,103869
2022-02-01,219.02,220.26,213.12,216.12,86236
2022-02-02,217.15,217.38,212.43,214.00,101106
2022-02-03,212.10,214.92,211.70,212.32,69678
2022-02-04,211.84,214.48,209.99,211.02,42064
2022-02-07,210.12,212.25,208.51,209.60,56065
2022-02-08,209.24,214.49,208.97,213.53,84373
2022-02-09,217.43,221.69,215.68,220.30,106218
2022-02-10,217.99,220.89,215.51,216.70,72778
2022-02-11,218.14,218.79,212.37,214.45,60739
2022-02-14,215.85,220.03,213.80,216.10,91538
2022-02-15,219.24,224.71,218.40,223.71,84934
2022-02-16,222.17,226.86,220.78,224.45,69220
2022-02-17,226.05,227.08,219.82,220.99,113716
2022-02-18,222.10,222.10,215.60,216.04,90377
2022-02-22,214.69,217.48,213.06,215.15,79657
2022-02-23,217.23,217.23,209.05,209.93,66774
2022-02-24,205.79,215.81,205.67,214.83,93839
2022-02-25,215.00,218.78,212.47,218.12,85905
2022-02-28,216.66,218.10,213.57,216.45,114168
2022-03-01,216.00,217.98,207.16,208.80,104374
2022-03-02,210.18,219.06,210.18,218.17,122043
2022-03-03,219.01,221.01,215.64,218.97,91002
2022-03-04,215.91,216.90,214.15,215.47,109878
2022-03-07,214.99,217.80,213.59,217.10,179340
2022-03-08,218.79,224.82,217.15,222.57,154804
2022-03-09,227.35,228.64,224.68,226.10,123057
2022-03-10,224.37,229.88,224.00,228.95,127112
2022-03-11,231.00,234.35,228.00,228.28,70666
2022-03-14,229.53,230.81,224.81,226.13,85062
2022-03-15,227.52,230.21,224.87,229.89,96699
2022-03-16,231.14,236.13,231.14,235.62,135857
2022-03-17,234.10,240.28,233.06,238.78,96043
2022-03-18,238.80,243.20,233.96,242.36,261632
2022-03-21,242.94,246.69,241.88,245.00,122732
2022-03-22,246.74,251.78,244.45,248.54,124693
2022-03-23,247.27,247.51,242.01,242.70,89700
2022-03-24,242.98,242.98,240.14,241.97,71395
2022-03-25,243.46,243.46,240.32,243.08,108671
2022-03-28,243.61,243.61,240.41,243.02,64122
2022-03-29,245.00,247.99,239.66,242.39,163744
2022-03-30,241.39,242.17,237.58,237.91,61918
2022-03-31,238.42,241.13,238.42,238.60,101417
2022-04-01,240.25,246.43,238.50,246.26,158103
2022-04-04,245.71,249.41,243.56,243.90,129157
2022-04-05,242.95,243.21,233.48,233.81,112488
2022-04-06,233.63,233.63,229.05,230.79,87289
2022-04-07,229.23,237.47,227.96,237.12,133231
2022-04-08,236.20,240.02,235.58,237.81,90951
2022-04-11,236.77,240.53,235.90,239.17,85742
2022-04-12,240.47,245.35,240.27,241.80,110012
2022-04-13,242.62,244.79,242.06,242.67,57605
2022-04-14,242.67,244.06,240.67,240.71,58789
2022-04-18,239.41,243.02,239.08,241.03,54765
2022-04-19,241.67,246.78,241.61,246.24,64387
2022-04-20,249.20,253.21,248.30,248.30,84221
2022-04-21,265.88,277.00,259.94,264.61,322195
2022-04-22,265.00,268.66,260.65,264.20,179989
2022-04-25,263.48,264.03,253.56,263.60,157185
2022-04-26,261.21,262.61,254.48,254.89,120972
2022-04-27,254.64,258.90,252.39,252.73,134306
2022-04-28,252.19,254.71,249.53,252.47,154483
2022-04-29,252.00,255.79,247.76,248.81,117447
2022-05-02,247.93,251.21,245.08,251.19,117692
2022-05-03,249.58,253.72,248.38,253.17,104948
2022-05-04,253.92,259.87,252.41,259.22,81141
2022-05-05,257.99,257.99,249.46,252.31,55472
2022-05-06,252.36,252.76,247.39,252.29,88209
2022-05-09,248.07,250.96,242.58,244.43,69469
2022-05-10,247.52,247.52,235.41,240.06,89440
2022-05-11,239.69,248.52,239.69,241.30,127220
2022-05-12,239.80,243.40,235.26,240.37,91660
2022-05-13,241.68,247.03,239.91,241.61,230519
2022-05-16,242.10,248.75,238.49,247.76,94862
2022-05-17,251.78,252.56,247.28,252.28,129106
2022-05-18,252.50,256.31,245.90,248.57,126974
2022-05-19,246.22,250.13,241.22,248.10,150879
2022-05-20,248.74,249.22,242.82,247.91,111136
2022-05-23,248.00,254.68,248.00,254.14,63467
2022-05-24,252.00,253.12,248.82,252.63,89414
2022-05-25,251.00,259.14,251.00,256.58,75885
2022-05-26,259.11,262.00,256.85,258.22,71032
2022-05-27,259.00,264.50,259.00,264.50,52645
2022-05-31,262.90,262.90,255.85,256.75,124392
2022-06-01,258.75,258.75,248.85,252.44,117994
2022-06-02,253.65,259.91,251.26,259.29,72493
2022-06-03,258.91,261.86,257.76,261.13,72702
2022-06-06,263.17,264.00,260.58,261.87,66939
2022-06-07,258.88,263.67,258.13,262.68,88507
2022-06-08,261.39,261.39,255.85,257.50,54164
2022-06-09,254.24,258.38,254.00,254.30,54101
2022-06-10,249.73,250.26,245.32,246.80,67429
2022-06-13,241.67,241.67,235.16,235.48,70617
2022-06-14,235.00,236.59,232.27,235.47,89065
2022-06-15,238.21,238.21,232.47,235.02,99226
2022-06-16,230.36,230.36,220.31,220.62,108677
2022-06-17,222.40,225.45,217.04,218.00,205403
2022-06-21,220.66,227.15,218.41,223.19,99306
2022-06-22,219.34,222.83,218.85,221.13,96146
2022-06-23,220.26,221.90,215.05,218.13,68116
2022-06-24,220.65,227.91,220.65,226.36,151910
2022-06-27,228.47,230.10,225.65,229.60,70601
2022-06-28,230.80,231.79,222.72,223.22,99060
2022-06-29,222.32,223.70,218.44,222.02,91293
2022-06-30,219.37,224.73,217.41,224.63,61087
2022-07-01,225.15,228.41,222.03,226.70,60880
2022-07-05,224.42,224.91,217.66,223.07,106038
2022-07-06,221.73,224.00,218.84,222.02,154384
2022-07-07,223.81,229.37,223.81,226.76,80460
2022-07-08,227.97,228.90,224.60,227.28,82292
2022-07-11,224.69,229.80,224.69,226.18,92561
2022-07-12,224.58,227.47,219.12,220.28,101010
2022-07-13,218.42,220.23,216.58,219.13,89945
2022-07-14,217.21,219.59,213.27,219.34,63066
2022-07-15,224.32,225.73,221.09,225.51,79231
2022-07-18,228.45,229.23,224.14,224.26,82691
2022-07-19,225.93,233.45,225.58,233.39,56826
2022-07-20,232.79,237.99,231.74,237.42,86925
2022-07-21,235.87,257.53,235.32,251.94,180605
2022-07-22,251.48,252.00,246.49,250.66,138498
2022-07-25,250.70,252.99,248.61,252.55,104290
2022-07-26,250.94,257.59,250.94,256.44,96809
2022-07-27,255.81,259.95,254.24,257.87,97468
2022-07-28,257.12,269.80,257.12,269.01,130047
2022-07-29,270.00,275.46,269.13,271.48,121190
2022-08-01,269.17,274.70,266.13,272.86,98414
2022-08-02,271.40,272.37,268.21,269.35,112399
2022-08-03,271.00,273.17,268.14,270.46,82188
2022-08-04,269.96,272.87,267.87,270.80,79407
2022-08-05,267.01,275.25,267.01,271.82,82175
2022-08-08,272.73,276.15,272.00,273.52,84019
2022-08-09,273.51,276.63,272.12,273.28,100847
2022-08-10,277.11,281.89,277.11,279.98,84416
2022-08-11,281.17,286.50,279.99,281.92,63168
