date,open,high,low,close,volume
2016-09-15,84.58,85.06,84.13,84.93,5920500
2016-09-16,84.83,85.05,84.35,84.97,6251509
2016-09-19,85.25,85.84,85.16,85.74,3407692
2016-09-20,86.14,86.25,85.61,85.61,3905798
2016-09-21,85.76,86.83,84.60,86.71,6904619
2016-09-22,87.51,88.34,87.29,88.26,3575571
2016-09-23,88.02,88.83,87.29,88.53,4722523
2016-09-26,88.28,88.94,88.00,88.74,3440162
2016-09-27,89.03,89.03,87.65,87.80,6479844
2016-09-28,87.94,88.59,87.67,88.52,2676283
2016-09-29,88.22,88.28,87.08,87.34,4662744
2016-09-30,87.65,88.19,86.73,86.74,6716612
2016-10-03,86.01,86.29,84.94,85.12,10473830
2016-10-04,85.00,85.04,83.46,83.96,7415648
2016-10-05,84.12,84.55,82.17,82.26,8124037
2016-10-06,81.85,82.89,81.11,82.29,6760164
2016-10-07,82.80,83.63,81.77,82.15,6036780
2016-10-10,82.22,83.00,82.22,82.66,2818332
2016-10-11,82.55,82.74,81.64,81.86,4306576
2016-10-12,81.99,82.92,81.86,82.80,3492477
2016-10-13,82.47,83.59,82.22,83.45,3633602
2016-10-14,83.30,83.99,82.91,83.08,3187476
2016-10-17,83.15,83.77,83.08,83.26,3153983
2016-10-18,83.81,84.28,83.50,83.79,2533156
2016-10-19,83.81,84.08,83.34,83.97,2870992
2016-10-20,83.96,84.33,83.32,83.78,3261117
2016-10-21,83.38,83.69,83.10,83.47,3193761
2016-10-24,83.85,84.51,83.33,83.66,3948867
2016-10-25,83.32,83.62,83.06,83.51,3161360
2016-10-26,83.19,83.31,81.85,82.42,4093093
2016-10-27,82.27,82.31,80.04,80.26,5968898
2016-10-28,80.39,81.14,80.15,80.45,4819067
2016-10-31,80.80,81.91,80.47,81.76,5009666
2016-11-01,81.40,81.47,79.70,79.98,7464973
2016-11-02,79.85,80.08,78.79,78.81,7846977
2016-11-03,78.87,79.00,78.18,78.20,7219432
2016-11-04,78.39,79.08,78.06,78.82,4429926
2016-11-07,79.41,80.23,79.41,80.20,5860533
2016-11-08,80.18,80.89,79.80,80.62,4023315
2016-11-09,78.70,80.00,77.77,79.40,10041130
2016-11-10,79.30,79.34,76.98,78.07,13504120
2016-11-11,78.00,79.51,77.95,78.54,5065947
2016-11-14,78.40,80.61,78.02,80.40,6751124
2016-11-15,80.67,81.34,79.18,79.73,7719524
2016-11-16,79.76,80.00,78.90,79.50,10337130
2016-11-17,79.46,80.06,78.58,78.69,3645439
2016-11-18,78.79,79.13,78.42,78.92,3655648
2016-11-21,79.18,79.75,78.59,78.68,3488166
2016-11-22,79.07,80.10,78.83,80.06,4226738
2016-11-23,79.36,79.80,79.04,79.72,6541874
2016-11-25,79.80,80.63,79.74,80.18,1904505
2016-11-28,80.18,81.08,80.13,80.55,4065943
2016-11-29,80.63,81.73,80.57,81.32,3754254
2016-11-30,80.55,81.05,80.00,80.39,6826311
2016-12-01,79.92,80.21,78.76,79.21,6361853
2016-12-02,79.56,80.83,79.43,80.00,3695873
2016-12-05,80.01,80.69,79.73,80.59,3457161
2016-12-06,80.80,81.47,80.50,81.11,3695200
2016-12-07,81.17,82.86,81.07,82.73,5424453
2016-12-08,82.45,83.53,82.01,83.30,4402411
2016-12-09,83.35,83.99,83.02,83.21,4505321
2016-12-12,82.98,83.81,82.83,83.76,3610694
2016-12-13,84.10,84.19,83.14,83.72,4015070
2016-12-14,83.62,83.83,81.75,81.89,4807029
2016-12-15,81.82,82.47,81.16,81.41,3914516
2016-12-16,81.58,83.17,81.45,82.63,6581118
2016-12-19,82.91,83.88,82.90,83.52,3662084
2016-12-20,83.48,84.08,83.18,83.71,5193553
2016-12-21,83.71,84.26,82.42,82.44,4998374
2016-12-22,80.64,80.88,79.91,80.61,3891681
2016-12-23,80.72,82.28,80.49,80.82,4504471
2016-12-27,80.94,81.30,80.61,80.99,3833036
2016-12-28,81.18,81.18,80.24,80.50,3979496
2016-12-29,80.76,81.74,80.45,81.50,4258426
2016-12-30,81.59,82.70,81.20,82.53,6673362
2017-01-03,82.98,83.00,82.14,82.80,9380340
2017-01-04,82.91,84.19,82.83,84.01,6598461
2017-01-05,83.70,84.38,82.92,84.28,8555670
2017-01-06,84.02,84.70,83.82,84.29,3900813
2017-01-09,84.53,84.53,83.50,83.53,3546074
2017-01-10,83.57,83.57,82.78,82.82,3959333
2017-01-11,82.87,82.96,82.23,82.31,4497715
2017-01-12,82.40,82.77,81.60,82.73,4670639
2017-01-13,82.72,83.02,82.33,82.61,3658131
2017-01-17,82.96,83.32,82.76,83.25,4139242
2017-01-18,83.22,83.67,83.03,83.39,3317374
2017-01-19,83.08,83.25,82.34,82.54,3168912
2017-01-20,82.57,83.19,82.38,83.14,3285567
2017-01-23,83.26,83.97,83.00,83.84,3165563
2017-01-24,83.84,84.21,83.50,83.86,4204176
