date,open,high,low,close,volume
2016-09-15,194.51,197.07,194.37,196.66,1874417
2016-09-16,196.02,196.19,195.17,195.89,1774200
2016-09-19,196.63,197.28,195.64,195.95,2061150
2016-09-20,196.86,197.03,195.93,195.97,1293885
2016-09-21,196.69,198.34,195.98,198.17,2238673
2016-09-22,199.26,199.71,198.98,199.36,2215193
2016-09-23,198.98,199.11,198.22,198.29,1413559
2016-09-26,197.47,197.60,196.50,196.71,2451566
2016-09-27,196.53,198.01,196.16,197.91,1468015
2016-09-28,198.18,199.07,197.13,198.98,1419899
2016-09-29,198.71,199.11,196.54,197.11,2062403
2016-09-30,198.01,199.34,197.75,198.69,3147403
2016-10-03,198.18,198.35,197.45,198.06,2134531
2016-10-04,198.25,198.47,196.48,197.14,2846569
2016-10-05,197.77,198.44,197.72,197.96,1126748
2016-10-06,197.74,198.34,197.16,198.19,1113392
2016-10-07,198.42,198.60,196.65,197.46,1795140
2016-10-10,198.44,198.95,198.31,198.37,1297401
2016-10-11,198.00,198.07,195.19,195.96,2642814
2016-10-12,196.12,196.74,195.59,196.21,1458672
2016-10-13,194.83,196.11,193.92,195.58,2406168
2016-10-14,196.65,197.12,195.61,195.63,1218830
2016-10-17,195.64,195.93,194.81,195.05,1323158
2016-10-18,196.70,196.76,195.82,196.20,1263381
2016-10-19,196.49,197.08,196.13,196.74,1041360
2016-10-20,196.37,196.97,195.70,196.42,1309796
2016-10-21,195.54,196.57,195.38,196.47,1376361
2016-10-24,197.37,197.65,196.95,197.27,816961
2016-10-25,197.13,197.39,196.48,196.71,1464904
2016-10-26,195.76,196.86,195.53,196.27,1202296
2016-10-27,197.04,197.07,195.65,195.75,1635359
2016-10-28,195.71,196.40,194.40,195.13,2632032
2016-10-31,195.49,195.74,194.98,195.13,1816103
2016-11-01,195.52,195.54,192.45,193.77,2456360
2016-11-02,193.42,193.81,192.10,192.49,3395490
2016-11-03,192.79,193.00,191.39,191.74,1512147
2016-11-04,191.80,192.71,191.32,191.48,2221546
2016-11-07,194.17,195.74,194.01,195.68,2698839
2016-11-08,195.31,197.18,195.02,196.58,3048539
2016-11-09,194.94,199.34,194.92,198.68,6118894
2016-11-10,199.53,200.44,197.61,199.14,5121781
2016-11-11,198.42,198.96,197.70,198.77,1921463
2016-11-14,199.30,199.49,198.06,198.80,2651089
2016-11-15,199.29,200.42,199.07,200.41,2528093
2016-11-16,199.78,200.29,199.65,200.07,1195176
2016-11-17,200.21,201.13,200.12,201.02,1176827
2016-11-18,201.16,201.32,200.44,200.66,1668283
2016-11-21,201.25,202.18,201.11,202.14,2641114
2016-11-22,202.51,202.73,201.77,202.51,2773330
2016-11-23,202.14,202.71,201.77,202.69,1465575
2016-11-25,203.08,203.50,202.96,203.50,1843091
