date,open,high,low,close,volume
2021-01-04,48.98,49.20,46.82,46.88,2098327
2021-01-05,47.13,47.89,46.82,47.44,2120664
2021-01-06,47.52,49.07,47.47,48.37,2596371
2021-01-07,48.21,48.21,46.65,47.44,1776881
2021-01-08,46.86,47.39,46.37,47.14,1338492
2021-01-11,46.86,47.23,45.84,46.20,1513121
2021-01-12,46.40,46.99,45.99,46.70,2159094
2021-01-13,46.76,48.32,46.76,48.10,1203138
2021-01-14,48.40,48.89,48.11,48.47,1017464
2021-01-15,48.31,49.32,47.90,48.98,2581751
2021-01-19,48.63,48.86,47.02,47.77,2707454
2021-01-20,47.41,49.30,47.10,48.73,2575819
2021-01-21,48.33,48.75,47.41,48.58,2367847
2021-01-22,48.24,49.42,48.00,49.13,2438076
2021-01-25,48.90,49.79,47.76,47.91,2283503
2021-01-26,47.96,48.82,46.88,47.23,1680649
2021-01-27,46.72,47.17,45.40,46.10,2468427
2021-01-28,46.12,48.46,45.96,47.19,2993567
2021-01-29,46.93,47.39,45.52,46.07,2726681
2021-02-01,46.50,47.73,46.14,47.56,2431160
2021-02-02,47.74,48.46,47.00,47.28,1978073
2021-02-03,46.86,47.84,46.07,47.67,2265722
2021-02-04,47.89,49.00,47.63,48.43,2131399
2021-02-05,48.49,48.89,48.27,48.47,1065976
2021-02-08,48.43,48.45,47.81,48.15,1240797
2021-02-09,48.29,48.42,47.66,48.24,1240468
2021-02-10,48.66,50.44,48.66,49.64,2144963
2021-02-11,49.68,50.80,49.50,50.75,1580261
2021-02-12,50.52,50.88,49.89,50.72,1424611
2021-02-16,50.66,51.14,50.08,50.33,1542408
2021-02-17,50.28,51.04,49.95,50.64,1496852
2021-02-18,50.30,51.76,49.73,51.60,2181987
2021-02-19,51.73,52.70,51.10,52.39,2709751
2021-02-22,52.06,54.76,51.90,54.18,3146469
2021-02-23,54.73,55.09,53.80,54.62,2769169
2021-02-24,54.40,56.13,54.24,55.92,1788002
2021-02-25,55.88,56.50,53.49,53.99,1669800
2021-02-26,54.26,54.86,52.90,52.90,2326648
2021-03-01,53.79,54.46,52.73,52.75,1728356
2021-03-02,52.40,53.27,51.95,53.01,2369423
2021-03-03,53.27,53.70,52.47,53.19,2616554
2021-03-04,53.40,54.54,52.63,53.42,2412013
2021-03-05,53.80,55.46,52.93,55.14,2490625
2021-03-08,55.41,57.30,55.04,56.83,2442830
2021-03-09,56.88,57.73,56.20,56.49,2368858
2021-03-10,56.41,57.81,55.84,57.17,2897276
2021-03-11,56.95,58.10,56.18,56.23,2297692
2021-03-12,56.36,56.99,55.92,56.55,3133168
2021-03-15,56.62,57.11,55.99,56.74,2328664
2021-03-16,56.74,56.76,55.01,55.89,2081007
2021-03-17,56.02,57.16,55.78,57.14,2243602
2021-03-18,56.70,56.92,54.90,55.04,1813813
2021-03-19,54.87,56.02,54.24,54.48,3492843
2021-03-22,54.48,54.61,53.26,53.81,2029278
2021-03-23,53.61,54.20,53.24,53.76,2967745
2021-03-24,53.68,54.95,53.41,53.62,1982759
2021-03-25,53.49,53.81,51.97,53.58,2469652
2021-03-26,53.94,54.93,53.43,54.87,1873089
2021-03-29,54.53,54.68,53.25,54.15,1516790
2021-03-30,54.02,55.52,54.02,54.72,1960865
2021-03-31,54.05,54.27,53.28,53.34,2560075
2021-04-01,53.34,54.69,53.05,54.40,2634250
2021-04-05,54.75,54.93,53.01,53.69,2619231
2021-04-06,53.69,54.73,53.52,54.56,3053619
2021-04-07,54.78,54.91,53.94,54.50,2871569
2021-04-08,54.84,55.18,54.24,54.91,3091601
2021-04-09,54.99,55.34,54.41,54.74,2471991
2021-04-12,54.86,55.13,54.10,55.09,2739266
2021-04-13,55.17,55.50,54.80,55.20,1859086
2021-04-14,55.32,55.69,54.52,54.54,2345170
2021-04-15,54.83,55.73,54.51,55.64,1404030
2021-04-16,55.96,56.18,55.39,55.41,2247542
2021-04-19,55.37,55.42,54.68,54.80,1778714
2021-04-20,54.57,55.60,54.57,55.48,2147962
2021-04-21,55.51,55.95,55.06,55.71,1592926
2021-04-22,55.95,56.24,55.26,55.29,1784350
2021-04-23,55.33,55.33,54.45,54.77,2668490
2021-04-26,55.20,56.09,55.09,55.61,1397424
2021-04-27,55.67,56.06,55.37,55.65,1609596
2021-04-28,55.65,56.08,55.11,55.26,1848672
2021-04-29,55.75,56.72,55.45,55.80,1627277
2021-04-30,55.57,55.84,55.28,55.46,1946211
2021-05-03,55.68,56.47,55.36,55.94,1930953
2021-05-04,56.00,56.41,54.97,55.36,2286085
2021-05-05,55.13,55.14,52.91,53.31,1631752
2021-05-06,53.68,54.17,53.22,54.01,2576729
2021-05-07,53.26,55.20,53.26,54.77,2397411
2021-05-10,54.97,56.59,54.66,54.93,2555946
2021-05-11,54.41,54.41,52.89,53.61,2303950
2021-05-12,53.65,53.82,52.04,52.18,2409311
2021-05-13,52.52,54.23,52.50,53.63,3026202
2021-05-14,53.71,54.77,53.71,54.64,1975620
2021-05-17,54.49,55.03,54.04,54.27,2055540
2021-05-18,54.03,54.97,53.64,54.02,1342603
2021-05-19,53.46,54.15,52.69,54.13,1861340
2021-05-20,54.03,54.60,53.74,54.37,1416768
2021-05-21,54.38,54.74,53.94,54.15,1476202
