date,open,high,low,close,volume
2021-01-04,226.06,237.31,222.28,236.46,1897486
2021-01-05,234.10,242.62,233.37,241.93,1416943
2021-01-06,234.28,246.54,234.28,241.88,1251677
2021-01-07,246.44,250.89,243.35,250.07,1324092
2021-01-08,253.56,268.67,253.19,258.38,2374941
2021-01-11,253.39,263.77,249.54,259.18,1043400
2021-01-12,261.46,283.72,259.00,279.65,2204902
2021-01-13,279.23,313.73,278.38,309.10,4029709
2021-01-14,307.00,369.00,305.68,329.87,9033902
2021-01-15,325.77,326.60,299.06,300.00,4144899
2021-01-19,305.00,309.64,290.84,299.85,2425100
2021-01-20,302.84,306.30,290.46,294.09,1605450
2021-01-21,298.00,308.60,290.62,293.52,2041398
2021-01-22,294.00,305.18,293.00,299.94,2247494
2021-01-25,302.54,314.85,293.00,294.34,2766029
2021-01-26,297.64,299.83,276.23,280.34,2674039
2021-01-27,272.10,292.64,265.00,276.23,2411472
2021-01-28,277.95,287.25,272.09,278.14,1298779
2021-01-29,280.01,284.96,263.57,272.32,1918897
2021-02-01,276.67,281.52,264.20,281.03,1455611
2021-02-02,282.66,285.81,274.23,284.80,1241047
2021-02-03,287.06,295.45,283.95,284.97,1730367
2021-02-04,288.37,303.39,285.50,294.28,1562375
2021-02-05,295.96,297.50,286.93,289.30,1344531
2021-02-08,290.08,296.00,279.00,289.48,1496724
2021-02-09,285.05,296.02,284.48,286.78,1492263
2021-02-10,292.03,292.03,277.43,287.02,1138018
2021-02-11,293.01,304.50,289.11,291.61,1739469
2021-02-12,289.28,299.26,286.09,292.97,827950
2021-02-16,294.60,294.77,277.36,277.55,1330562
2021-02-17,275.51,279.49,268.07,273.26,1111304
2021-02-18,273.26,280.67,267.91,271.90,1004831
2021-02-19,272.31,298.00,272.31,292.73,2646320
2021-02-22,285.36,285.88,263.21,266.96,3093495
2021-02-23,260.46,265.64,243.44,262.90,2380144
2021-02-24,264.00,264.38,251.24,258.13,1724135
2021-02-25,266.02,299.42,254.66,258.05,5948009
2021-02-26,271.00,295.65,270.19,288.98,3928278
2021-03-01,293.50,342.99,292.07,335.65,6514310
2021-03-02,329.17,332.41,315.42,320.07,2166128
2021-03-03,316.99,320.00,291.10,295.54,1737982
2021-03-04,292.19,296.78,272.20,287.00,2094938
2021-03-05,289.07,307.29,263.84,295.66,3576290
2021-03-08,298.01,326.89,297.95,306.56,2686838
2021-03-09,318.00,322.07,311.09,318.60,1617479
2021-03-10,325.89,326.18,307.08,310.01,1380212
2021-03-11,322.34,324.35,315.32,319.99,1422659
2021-03-12,312.00,317.21,303.46,316.26,970792
2021-03-15,316.58,331.20,312.01,324.03,1265436
2021-03-16,327.19,329.75,309.39,314.17,1040098
2021-03-17,308.28,325.91,304.52,321.66,727078
2021-03-18,317.08,341.45,316.25,325.92,2148031
2021-03-19,325.91,348.00,325.91,335.36,1637268
2021-03-22,335.36,346.99,333.02,345.47,1482795
2021-03-23,349.53,355.96,332.31,335.93,1561522
2021-03-24,332.66,340.83,323.01,326.68,1340378
2021-03-25,319.00,331.56,313.00,329.04,1451065
2021-03-26,332.12,344.92,332.12,343.68,1540749
2021-03-29,345.00,354.50,332.24,332.64,1369236
2021-03-30,328.00,329.60,315.12,317.02,1388983
2021-03-31,326.88,327.08,313.94,314.75,1700447
2021-04-01,322.47,340.10,322.15,338.00,2076696
2021-04-05,336.37,338.00,319.30,323.73,1557550
2021-04-06,326.36,343.80,325.14,339.15,1419558
2021-04-07,335.10,336.71,323.75,325.92,1086516
2021-04-08,330.23,337.24,326.26,332.22,1169209
2021-04-09,330.00,337.68,325.79,327.49,770226
2021-04-12,323.20,326.04,314.85,319.97,1086609
2021-04-13,321.10,327.47,315.99,318.29,712186
2021-04-14,320.00,333.77,319.41,323.26,1165490
2021-04-15,327.50,329.26,319.39,321.12,991854
2021-04-16,313.99,322.98,304.70,321.64,1458460
2021-04-19,322.22,324.98,311.42,315.33,1280043
2021-04-20,315.00,317.17,305.77,314.00,912511
2021-04-21,312.27,322.66,308.14,318.50,1214995
2021-04-22,319.10,322.00,305.64,307.77,1073962
2021-04-23,310.06,311.23,299.39,308.18,1054302
2021-04-26,309.03,309.79,302.88,308.78,1004939
2021-04-27,307.68,316.23,306.58,310.26,847580
2021-04-28,307.00,314.17,303.49,311.04,870124
2021-04-29,313.60,320.94,302.06,306.80,1188613
2021-04-30,303.60,306.98,293.50,295.57,1609999
2021-05-03,293.80,293.98,277.43,280.18,2185338
2021-05-04,275.92,278.25,267.85,274.08,1938998
2021-05-05,277.31,281.47,265.04,270.97,1557563
2021-05-06,288.00,297.85,277.01,286.13,4397711
2021-05-07,295.60,307.12,291.46,305.49,2778593
2021-05-10,300.14,331.51,299.01,321.10,3098338
2021-05-11,310.86,327.34,308.96,325.94,1583772
2021-05-12,319.00,324.18,298.19,299.69,2256339
2021-05-13,301.19,305.10,286.70,295.27,1633365
2021-05-14,299.54,307.89,296.00,300.00,1257423
2021-05-17,300.78,307.05,297.00,301.63,878092
2021-05-18,305.00,312.76,302.50,304.42,1501716
2021-05-19,299.80,302.72,296.04,302.47,823667
2021-05-20,308.09,314.00,303.80,309.89,2044366
2021-05-21,311.36,315.58,307.40,310.65,1063426
2021-05-24,312.18,317.85,310.68,313.66,1025198
2021-05-25,315.36,320.47,309.00,311.76,1211704
2021-05-26,314.24,327.38,311.59,324.87,1476295
2021-05-27,321.41,332.00,319.39,320.11,1726442
2021-05-28,320.73,322.28,305.60,306.54,1089742
2021-06-01,314.93,321.81,312.26,318.00,1331963
2021-06-02,317.27,333.80,316.11,332.89,1615877
2021-06-03,331.36,333.57,323.08,325.58,1244121
2021-06-04,325.91,326.44,317.33,321.03,897447
2021-06-07,317.34,329.08,313.01,327.95,1752043
2021-06-08,331.00,335.73,326.93,333.00,934483
2021-06-09,332.21,339.56,322.58,323.50,786039
2021-06-10,324.04,330.10,320.85,328.15,798402
2021-06-11,328.41,331.86,321.72,323.22,818920
2021-06-14,321.00,321.99,313.56,317.44,1467266
2021-06-15,317.96,317.96,302.57,309.36,1257220
2021-06-16,308.43,308.43,298.74,306.68,1243542
2021-06-17,305.22,312.90,303.02,309.22,932229
2021-06-18,309.34,309.49,299.67,303.20,988779
2021-06-21,302.55,304.75,293.17,304.06,926228
2021-06-22,304.74,309.00,300.93,307.51,719459
2021-06-23,308.20,312.99,305.17,309.49,700930
2021-06-24,311.60,326.87,311.00,319.19,1156283
2021-06-25,319.14,328.21,317.98,321.50,1695255
2021-06-28,325.00,326.84,315.15,317.42,745384
2021-06-29,312.66,313.43,299.70,308.40,2310182
2021-06-30,305.05,316.43,305.05,315.71,1551258
2021-07-01,316.70,321.75,306.75,307.50,853825
2021-07-02,307.50,310.68,297.77,301.01,1218108
2021-07-06,302.44,306.87,299.16,306.50,854568
2021-07-07,309.04,309.90,305.17,307.09,1139988
2021-07-08,301.29,304.64,296.83,302.01,1119332
2021-07-09,303.92,304.94,302.23,303.90,1106633
2021-07-12,306.69,308.78,296.00,301.80,1007464
2021-07-13,298.43,302.22,288.50,288.73,990437
2021-07-14,291.25,292.96,277.98,280.48,1414662
2021-07-15,282.09,290.98,276.71,286.72,1144489
2021-07-16,288.21,288.91,278.28,280.01,1109008
2021-07-19,275.78,295.70,274.98,289.32,1636993
2021-07-20,290.51,300.25,289.02,297.77,1139063
2021-07-21,296.45,297.61,290.83,292.21,750123
2021-07-22,290.30,290.89,282.86,288.14,826892
2021-07-23,288.14,289.29,284.48,285.51,781268
2021-07-26,284.53,289.55,281.39,284.04,813875
2021-07-27,284.75,284.75,266.85,274.64,1204374
2021-07-28,273.84,279.41,271.45,274.41,931350
2021-07-29,268.46,269.74,257.47,261.95,2010178
2021-07-30,253.00,254.99,239.32,241.36,2971129
2021-08-02,240.67,244.89,234.18,242.37,2653514
2021-08-03,241.20,250.82,241.07,249.49,2049096
2021-08-04,250.00,252.80,239.53,251.05,2183555
2021-08-05,255.00,285.00,255.00,276.16,4526383
2021-08-06,270.00,272.36,258.71,263.82,1780019
2021-08-09,263.50,281.17,262.12,278.83,1999191
2021-08-10,280.35,294.48,280.35,285.21,2326833
2021-08-11,287.87,310.20,287.45,310.08,3086017
2021-08-12,307.40,317.00,302.53,316.57,2186095
2021-08-13,317.45,317.45,304.36,311.88,1287949
2021-08-16,309.84,309.89,294.47,299.78,1318257
2021-08-17,295.10,301.46,292.49,298.38,1243047
2021-08-18,296.28,298.24,280.05,280.50,1125174
2021-08-19,278.16,284.29,276.00,283.69,1118038
2021-08-20,285.31,292.76,283.05,290.52,889630
2021-08-23,294.26,294.26,286.53,287.02,572876
2021-08-24,288.89,289.31,282.72,286.03,809044
2021-08-25,284.57,288.95,279.36,288.63,554998
2021-08-26,285.73,300.39,285.00,290.84,1085887
2021-08-27,290.00,296.86,288.74,291.12,563017
2021-08-30,291.94,294.00,290.17,291.86,906728
2021-08-31,292.82,292.82,279.60,280.75,1112987
2021-09-01,284.19,286.35,278.44,279.07,628047
2021-09-02,279.01,280.55,271.88,274.30,1015750
2021-09-03,272.76,279.94,269.04,273.54,676551
2021-09-07,270.00,272.99,264.67,269.71,875691
2021-09-08,270.00,270.78,262.51,263.98,784274
2021-09-09,265.51,269.48,260.60,265.89,1050006
2021-09-10,269.89,272.00,262.09,262.23,724481
2021-09-13,260.89,268.29,256.90,268.15,845658
2021-09-14,270.00,272.75,265.21,266.37,703098
2021-09-15,265.16,278.81,263.01,276.40,1283441
2021-09-16,275.89,282.79,275.57,277.87,1638261
2021-09-17,279.84,287.53,278.27,286.26,1568586
2021-09-20,277.50,284.72,275.67,280.61,1042815
2021-09-21,281.26,287.65,278.63,279.26,746142
2021-09-22,279.81,283.48,274.25,277.57,916970
2021-09-23,273.28,276.88,269.00,275.00,1390636
