date,open,high,low,close,volume
2021-01-04,60.70,60.70,57.98,59.04,851514
2021-01-05,59.21,60.51,58.82,59.79,569387
2021-01-06,60.93,66.38,60.88,65.93,1565761
2021-01-07,66.63,68.39,66.32,67.42,1282024
2021-01-08,68.44,68.44,65.67,66.48,745571
2021-01-11,65.76,68.77,65.26,68.67,544499
2021-01-12,69.10,72.28,69.00,70.00,986636
2021-01-13,69.47,70.02,68.23,69.78,473187
2021-01-14,70.51,72.48,69.75,72.43,580793
2021-01-15,70.76,72.25,70.22,70.32,660473
2021-01-19,70.98,71.34,69.81,70.66,584279
2021-01-20,70.59,71.59,69.84,71.31,637977
2021-01-21,71.19,71.19,68.38,69.38,1009429
2021-01-22,70.87,73.59,69.50,71.19,1284504
2021-01-25,70.48,71.01,68.23,70.93,1067325
2021-01-26,71.39,71.58,69.33,69.54,747361
2021-01-27,67.86,69.29,67.33,68.74,843377
2021-01-28,70.15,70.65,68.94,69.19,621430
2021-01-29,69.36,70.83,67.59,68.18,567201
2021-02-01,68.73,70.45,67.91,70.38,492051
2021-02-02,71.20,73.09,70.92,72.37,590861
2021-02-03,72.08,72.95,70.69,72.29,392538
2021-02-04,72.67,75.08,72.52,73.40,617867
2021-02-05,73.97,74.91,72.80,73.87,495443
2021-02-08,74.12,75.90,73.89,75.89,519282
2021-02-09,75.31,76.78,75.06,76.44,612114
2021-02-10,76.84,78.38,75.37,76.88,794241
2021-02-11,76.88,77.92,76.20,77.23,851402
2021-02-12,77.25,79.89,76.92,78.20,763334
2021-02-16,79.38,80.99,78.74,80.53,698483
2021-02-17,82.14,83.15,80.83,82.92,1323487
2021-02-18,81.91,83.44,81.40,82.75,882974
2021-02-19,83.57,88.11,83.41,88.07,1090005
2021-02-22,88.09,93.53,87.51,92.18,1284409
2021-02-23,92.61,94.39,90.01,93.56,1516423
2021-02-24,94.21,97.77,93.97,97.61,1305731
2021-02-25,98.91,99.39,94.15,94.18,1072936
2021-02-26,93.24,93.94,89.63,91.51,701425
2021-03-01,94.03,96.37,92.62,95.66,995622
2021-03-02,94.28,94.99,91.88,93.19,1022647
2021-03-03,94.11,96.39,93.00,93.25,903750
2021-03-04,92.47,94.82,90.32,93.27,1074566
2021-03-05,95.34,96.45,91.43,96.19,1202957
2021-03-08,97.25,100.00,96.65,96.92,1053984
2021-03-09,95.25,96.00,92.13,94.36,819622
2021-03-10,94.07,96.89,94.07,95.44,842876
2021-03-11,95.53,97.37,94.48,96.92,556247
2021-03-12,98.51,99.10,97.39,98.68,605559
2021-03-15,98.99,99.53,95.51,98.84,622192
2021-03-16,97.98,98.90,96.02,97.02,545608
2021-03-17,98.00,99.21,96.40,98.00,464684
2021-03-18,99.69,103.34,97.90,98.70,618274
2021-03-19,95.89,100.98,93.97,99.65,2033303
2021-03-22,98.98,99.06,95.50,96.24,644358
2021-03-23,94.82,95.80,91.52,92.20,730422
2021-03-24,93.69,95.92,91.49,91.50,794503
2021-03-25,90.84,95.17,90.30,94.70,547260
2021-03-26,96.35,97.86,94.42,96.10,494114
2021-03-29,94.53,95.48,90.73,93.57,1041622
2021-03-30,94.88,97.17,94.69,96.77,554818
2021-03-31,96.67,97.81,94.42,94.44,974353
2021-04-01,94.47,94.90,93.06,94.37,965944
2021-04-05,95.50,96.34,92.44,93.09,720673
2021-04-06,93.18,94.20,91.82,92.49,659248
2021-04-07,92.85,93.20,91.57,92.07,462563
2021-04-08,91.16,92.50,89.90,92.03,463715
2021-04-09,93.30,93.30,91.75,93.10,427270
2021-04-12,93.74,94.75,92.61,93.36,395580
2021-04-13,92.06,93.18,90.63,92.44,913055
2021-04-14,92.44,95.62,92.38,94.04,505474
2021-04-15,94.04,94.20,91.08,92.94,619600
2021-04-16,92.50,101.17,92.17,100.26,1733579
2021-04-19,101.93,104.85,101.50,102.14,1237410
2021-04-20,101.32,101.80,95.67,96.92,960666
2021-04-21,97.08,101.09,96.72,101.08,729121
