date,open,high,low,close,volume
2021-01-04,79.05,79.69,75.64,76.58,334991
2021-01-05,76.12,80.03,75.91,78.90,374840
2021-01-06,80.41,84.92,80.41,84.29,450601
2021-01-07,84.78,86.91,83.23,86.57,313534
2021-01-08,86.73,86.73,83.34,85.51,301356
2021-01-11,83.91,85.02,83.21,83.83,462040
2021-01-12,84.02,86.35,83.63,85.67,303315
2021-01-13,87.44,87.62,83.44,84.32,437562
2021-01-14,85.03,87.84,84.67,86.64,306338
2021-01-15,84.59,86.39,81.60,85.71,431413
2021-01-19,86.47,87.85,85.75,86.01,467868
2021-01-20,86.42,86.97,85.04,85.80,241759
2021-01-21,85.80,86.39,84.15,84.52,267531
2021-01-22,83.63,84.23,82.63,84.06,399124
2021-01-25,83.37,83.37,80.80,81.73,446847
2021-01-26,82.59,83.44,78.69,79.04,419859
2021-01-27,76.76,78.85,73.77,75.98,748775
2021-01-28,77.61,80.81,77.18,78.80,369004
2021-01-29,78.39,78.88,75.04,76.11,521396
2021-02-01,77.47,81.21,77.47,80.92,306755
2021-02-02,82.00,83.66,80.67,82.59,370061
2021-02-03,82.20,84.55,81.20,84.51,281404
2021-02-04,84.51,85.85,84.13,85.54,317316
2021-02-05,85.92,87.17,85.32,86.77,336296
2021-02-08,87.35,89.53,87.31,89.33,429795
2021-02-09,75.40,77.48,70.49,76.62,3186510
2021-02-10,78.51,82.93,76.76,77.31,1382610
2021-02-11,77.40,78.49,75.30,76.80,682004
2021-02-12,76.00,81.36,75.83,80.44,1284942
2021-02-16,81.89,83.08,81.21,82.05,529347
2021-02-17,81.05,82.08,80.20,80.47,534329
2021-02-18,79.68,81.34,77.64,78.86,366725
2021-02-19,79.74,82.58,79.74,81.53,444523
2021-02-22,80.86,82.38,80.16,80.63,563369
2021-02-23,80.00,81.86,77.01,81.21,397588
2021-02-24,81.67,84.13,80.98,84.10,539567
2021-02-25,83.80,84.39,80.06,80.27,603084
2021-02-26,80.78,81.92,78.59,80.28,368191
2021-03-01,82.56,86.50,82.32,85.85,517232
2021-03-02,85.61,87.14,85.28,85.82,403413
2021-03-03,86.07,88.78,85.41,86.49,382256
2021-03-04,86.58,88.96,80.15,83.18,932538
2021-03-05,85.00,86.58,79.40,86.44,556784
2021-03-08,87.52,89.71,86.63,88.72,504780
2021-03-09,89.65,90.48,86.22,87.53,472339
2021-03-10,87.83,90.58,87.42,90.05,356622
2021-03-11,92.04,93.09,90.51,91.44,415420
2021-03-12,92.00,93.25,90.89,92.14,318232
2021-03-15,91.85,92.90,90.31,92.79,230378
2021-03-16,93.36,93.36,89.09,89.37,437117
2021-03-17,90.02,93.29,88.97,93.23,327580
2021-03-18,92.72,95.19,89.30,89.66,337911
2021-03-19,90.36,91.77,85.00,91.00,732325
2021-03-22,91.44,91.46,88.59,90.18,272144
2021-03-23,88.65,89.71,82.15,82.92,559620
2021-03-24,84.65,87.36,81.27,81.49,514273
2021-03-25,80.27,85.20,79.10,84.16,481693
2021-03-26,85.79,86.36,83.38,85.80,438314
2021-03-29,85.00,88.00,82.68,83.04,374876
2021-03-30,82.76,86.07,82.31,85.80,305967
2021-03-31,86.37,87.84,84.51,86.53,405849
2021-04-01,87.70,87.98,85.55,87.04,294785
2021-04-05,88.62,89.98,88.10,89.15,205468
2021-04-06,88.90,90.11,87.28,87.38,325954
2021-04-07,87.47,87.53,84.44,84.64,327385
2021-04-08,85.34,86.40,83.50,86.08,274256
2021-04-09,86.21,87.91,85.00,87.41,247630
2021-04-12,88.24,90.08,87.64,89.77,273185
2021-04-13,89.14,89.14,85.16,86.37,387191
2021-04-14,86.71,87.84,84.77,84.78,431521
