date,open,high,low,close,volume
2021-01-04,204.68,204.68,193.48,197.21,265096
2021-01-05,197.92,205.39,197.92,202.30,341875
2021-01-06,198.99,213.25,198.99,211.50,469284
2021-01-07,213.80,217.98,211.92,212.57,265541
2021-01-08,213.24,214.05,210.20,212.02,231481
2021-01-11,205.83,209.46,204.69,208.69,425110
2021-01-12,209.48,211.49,207.68,209.72,340683
2021-01-13,210.44,213.50,208.70,211.88,191613
2021-01-14,213.78,215.60,210.73,212.08,320412
2021-01-15,209.45,211.69,200.81,200.90,328144
2021-01-19,203.86,206.31,200.74,202.24,281951
2021-01-20,203.78,207.29,203.08,205.62,224000
2021-01-21,205.96,206.37,202.67,202.92,156903
2021-01-22,200.75,203.20,200.75,201.75,201078
2021-01-25,201.58,202.94,192.53,197.43,342665
2021-01-26,200.52,200.89,193.07,193.55,275004
2021-01-27,189.37,191.35,185.02,187.22,356167
2021-01-28,190.28,198.00,189.49,196.21,335374
2021-01-29,196.53,196.53,187.43,188.60,394641
2021-02-01,191.67,196.31,190.15,195.74,242260
2021-02-02,199.51,200.26,195.74,196.48,257451
2021-02-03,195.68,197.64,193.75,195.12,224648
2021-02-04,199.04,202.69,195.77,200.04,289281
2021-02-05,203.99,205.37,197.72,198.98,226430
2021-02-08,200.82,207.75,198.56,207.69,295563
2021-02-09,206.71,209.64,203.79,208.31,182017
2021-02-10,208.80,215.28,208.80,214.50,370888
2021-02-11,216.30,222.25,216.30,219.36,363205
2021-02-12,219.41,221.64,218.93,221.40,219492
2021-02-16,223.00,229.73,221.64,223.56,395002
2021-02-17,221.20,227.20,221.20,224.67,211838
2021-02-18,222.27,224.77,217.22,218.81,363157
2021-02-19,220.59,222.25,218.63,221.19,143504
2021-02-22,218.90,229.36,218.03,226.82,262710
2021-02-23,225.96,230.40,219.80,229.92,386252
2021-02-24,227.32,234.64,215.49,230.00,702067
2021-02-25,225.13,229.13,215.30,217.95,508562
2021-02-26,216.31,219.59,205.00,208.35,876117
2021-03-01,210.00,218.21,209.65,214.01,550646
2021-03-02,214.03,217.01,210.44,215.02,385501
2021-03-03,214.67,218.69,212.98,215.39,661835
2021-03-04,215.08,216.40,205.40,209.49,720618
2021-03-05,212.44,214.99,201.16,213.97,791876
2021-03-08,217.57,224.31,215.12,216.33,466423
2021-03-09,217.06,221.54,212.65,212.73,402838
2021-03-10,214.19,216.95,209.52,212.97,314743
2021-03-11,215.55,220.62,215.25,218.32,349968
2021-03-12,218.59,221.90,217.33,221.08,284892
2021-03-15,223.02,226.72,221.87,226.02,263458
2021-03-16,226.70,226.73,218.84,221.33,227197
2021-03-17,221.79,229.40,219.26,228.44,337619
2021-03-18,226.73,229.20,218.25,219.66,424771
2021-03-19,217.35,220.34,214.41,215.25,441787
2021-03-22,214.06,216.45,212.38,213.50,203742
2021-03-23,212.02,213.06,205.87,206.46,355571
2021-03-24,209.14,215.58,208.51,209.78,311527
2021-03-25,207.79,214.46,204.38,212.97,275824
2021-03-26,215.90,220.66,214.21,219.69,402530
2021-03-29,208.47,218.63,207.22,215.87,346433
2021-03-30,215.18,217.82,212.14,212.93,220908
2021-03-31,213.16,213.91,208.57,209.22,404268
2021-04-01,211.97,217.12,211.97,216.44,282153
2021-04-05,215.79,219.74,212.80,215.17,289873
2021-04-06,213.46,219.89,213.20,218.93,281894
2021-04-07,218.16,220.92,214.43,215.26,228580
2021-04-08,216.90,217.79,213.06,217.01,634607
2021-04-09,216.56,220.04,215.24,219.31,126916
2021-04-12,224.46,224.93,221.00,222.91,531323
2021-04-13,221.02,223.89,217.67,220.97,413267
2021-04-14,221.55,228.81,221.55,226.00,543613
2021-04-15,229.32,232.07,226.79,228.01,310253
2021-04-16,229.66,230.00,227.86,229.02,331685
2021-04-19,227.93,230.14,224.32,226.34,222941
2021-04-20,224.86,226.61,218.35,220.50,310449
2021-04-21,221.10,227.58,218.95,224.07,287951
2021-04-22,223.41,227.64,223.07,224.73,164675
2021-04-23,225.85,229.00,224.87,227.23,240542
2021-04-26,227.45,229.90,227.18,228.13,192569
2021-04-27,227.67,228.55,225.00,225.83,251488
2021-04-28,226.95,229.89,225.82,226.73,441531
2021-04-29,218.00,219.09,208.00,212.23,785659
