date,open,high,low,close,volume
2021-01-04,26.62,26.92,26.08,26.47,32932
2021-01-05,26.48,26.81,26.13,26.37,45723
2021-01-06,26.39,27.16,26.39,26.87,47456
2021-01-07,27.40,27.60,27.13,27.60,28293
2021-01-08,27.52,27.56,27.12,27.56,18846
2021-01-11,26.78,27.00,26.56,26.80,24577
2021-01-12,26.57,26.92,26.57,26.81,46237
2021-01-13,27.33,28.07,27.23,28.07,30306
2021-01-14,27.88,28.01,27.61,27.84,34402
2021-01-15,27.28,27.28,26.98,27.05,29591
2021-01-19,27.79,27.96,27.00,27.09,36080
2021-01-20,26.80,27.09,26.69,26.99,42421
2021-01-21,26.56,26.84,26.45,26.60,40556
2021-01-22,26.08,26.08,25.81,26.00,29571
2021-01-25,25.90,26.02,25.77,25.98,36490
2021-01-26,25.89,25.89,25.51,25.70,55960
2021-01-27,25.16,25.25,24.89,25.03,23945
2021-01-28,24.75,25.19,24.75,24.82,19983
2021-01-29,23.95,24.18,23.61,23.89,34006
2021-02-01,24.18,24.64,24.08,24.51,20561
2021-02-02,24.51,24.65,24.33,24.48,33889
2021-02-03,24.57,24.75,24.47,24.75,20418
2021-02-04,24.37,24.47,24.26,24.47,16567
2021-02-05,25.02,25.28,24.96,25.28,16329
2021-02-08,25.34,25.36,25.17,25.27,11930
2021-02-09,25.30,25.69,25.25,25.69,22865
2021-02-10,26.10,26.10,25.78,25.86,22447
2021-02-11,25.86,26.15,25.74,26.15,27410
2021-02-12,26.07,26.24,25.99,25.99,19409
2021-02-16,26.31,26.31,25.76,26.00,23058
2021-02-17,25.91,26.15,25.77,26.15,14621
2021-02-18,25.60,25.73,25.33,25.73,12834
2021-02-19,26.07,26.25,26.07,26.25,15458
2021-02-22,25.80,26.06,25.80,26.00,12337
2021-02-23,25.84,26.11,25.67,26.11,14110
2021-02-24,26.07,26.49,26.07,26.49,11675
2021-02-25,26.47,26.60,25.89,26.20,30720
2021-02-26,25.87,25.87,25.18,25.18,13962
2021-03-01,25.38,25.95,25.38,25.69,18866
2021-03-02,25.83,26.13,25.80,25.91,14668
2021-03-03,25.98,26.18,25.81,25.81,19151
2021-03-04,25.94,26.07,25.48,25.70,11923
2021-03-05,25.91,26.10,25.56,26.10,20773
2021-03-08,26.34,26.44,26.12,26.30,14985
2021-03-09,26.66,26.96,26.58,26.74,25528
2021-03-10,26.63,26.71,26.50,26.61,17233
2021-03-11,26.63,26.90,26.63,26.74,9240
2021-03-12,26.86,27.07,26.64,27.07,23249
2021-03-15,26.76,27.10,26.64,27.10,26461
2021-03-16,27.10,27.10,26.69,27.04,14200
2021-03-17,26.81,27.01,26.48,27.01,11631
2021-03-18,26.81,26.93,26.41,26.61,13551
2021-03-19,26.89,27.06,26.61,27.06,22364
2021-03-22,26.82,26.87,26.68,26.76,8690
2021-03-23,26.61,26.77,26.31,26.42,7330
2021-03-24,26.50,26.62,26.26,26.37,20493
2021-03-25,26.30,26.67,26.26,26.67,19534
2021-03-26,26.61,26.96,26.41,26.72,24620
2021-03-29,26.83,27.10,26.74,27.01,10441
2021-03-30,26.87,26.89,26.73,26.89,16931
2021-03-31,26.94,27.10,26.72,27.10,10762
2021-04-01,26.96,27.10,26.76,27.10,15221
2021-04-05,27.21,27.21,26.78,27.20,13225
2021-04-06,27.18,27.19,26.96,27.07,16843
2021-04-07,28.33,28.54,28.32,28.54,22359
2021-04-08,28.71,28.76,27.96,28.33,8602
2021-04-09,27.79,27.79,26.98,26.98,16276
2021-04-12,27.77,27.79,27.27,27.79,9144
2021-04-13,27.50,27.70,27.24,27.46,13815
2021-04-14,27.69,28.10,27.69,28.10,6326
2021-04-15,27.89,28.21,27.73,28.21,7539
2021-04-16,27.67,27.77,27.28,27.76,8491
2021-04-19,27.43,27.78,27.28,27.28,12614
2021-04-20,27.79,27.90,27.44,27.64,39387
2021-04-21,27.46,27.64,27.23,27.64,9004
2021-04-22,27.92,28.20,27.66,27.82,14100
2021-04-23,28.08,28.37,27.97,28.37,14882
2021-04-26,28.47,28.64,28.40,28.64,6577
2021-04-27,28.58,28.69,28.50,28.69,8828
2021-04-28,28.82,29.00,28.73,29.00,14452
2021-04-29,29.06,29.10,28.60,28.90,9686
2021-04-30,28.50,28.85,28.50,28.85,7172
2021-05-03,28.23,28.53,28.03,28.53,14304
2021-05-04,28.00,28.20,27.81,28.20,6725
2021-05-05,28.16,28.20,27.81,27.98,10159
2021-05-06,29.15,30.00,28.97,30.00,26982
2021-05-07,30.47,30.47,29.55,29.89,11783
2021-05-10,30.55,30.64,30.18,30.44,15170
2021-05-11,30.29,30.29,29.95,29.95,13199
2021-05-12,29.44,29.46,28.66,28.66,13747
2021-05-13,29.07,29.57,29.07,29.41,21379
2021-05-14,29.51,30.50,29.51,30.50,7235
2021-05-17,29.41,29.59,29.13,29.59,14625
2021-05-18,29.75,30.20,29.71,30.20,10528
2021-05-19,29.71,29.82,29.54,29.82,6886
2021-05-20,29.66,29.90,29.43,29.90,8613
2021-05-21,29.14,30.71,28.81,30.71,11448
2021-05-24,29.77,29.77,29.44,29.64,11648
2021-05-25,29.63,29.70,29.00,29.00,28147
2021-05-26,29.55,29.63,29.36,29.45,4111
2021-05-27,29.26,29.50,29.00,29.00,13610
2021-05-28,29.57,29.92,29.51,29.51,12616
2021-06-01,30.12,30.56,30.11,30.56,11809
2021-06-02,30.26,30.54,30.26,30.42,9248
2021-06-03,30.37,30.60,30.22,30.34,6100
2021-06-04,31.15,31.57,31.15,31.48,10680
2021-06-07,31.30,31.41,31.21,31.21,5587
2021-06-08,31.21,31.22,30.99,31.22,4891
2021-06-09,30.97,32.00,30.93,32.00,11215
2021-06-10,30.99,31.01,30.71,30.73,8543
2021-06-11,31.09,31.09,30.44,30.74,7954
2021-06-14,30.47,30.47,30.11,30.12,5262
2021-06-15,30.67,30.73,30.40,30.73,14546
2021-06-16,31.77,32.01,31.12,31.36,12407
2021-06-17,31.17,31.17,30.86,30.86,10244
2021-06-18,30.50,30.86,29.98,30.29,20417
2021-06-21,29.94,30.47,29.94,30.18,11560
2021-06-22,30.27,30.63,29.99,30.63,11195
2021-06-23,30.05,30.27,29.88,30.15,7129
2021-06-24,30.89,31.08,30.61,31.08,11707
2021-06-25,31.46,32.55,31.31,32.55,17050
2021-06-28,31.95,31.95,31.50,31.92,7236
2021-06-29,31.15,31.15,30.71,30.82,7543
2021-06-30,30.68,30.68,30.25,30.27,16616
2021-07-01,30.48,30.48,30.17,30.47,7044
2021-07-02,30.60,30.96,30.49,30.96,10419
2021-07-06,30.75,30.75,30.29,30.47,4895
2021-07-07,30.24,30.24,29.95,30.04,6577
2021-07-08,29.80,29.95,29.42,29.42,8929
2021-07-09,29.47,29.59,29.40,29.53,7353
2021-07-12,29.57,29.83,29.54,29.83,5935
2021-07-13,29.74,30.18,29.53,29.66,28475
2021-07-14,29.81,30.00,29.68,29.68,8752
2021-07-15,29.83,30.57,29.63,30.57,4579
2021-07-16,29.97,30.10,29.67,29.96,4878
2021-07-19,29.35,29.35,28.90,29.32,11928
2021-07-20,29.42,29.78,29.10,29.76,6829
2021-07-21,29.59,30.81,29.37,29.88,13972
2021-07-22,30.52,30.52,29.61,29.76,48890
2021-07-23,29.14,29.14,28.85,28.98,18230
2021-07-26,28.55,28.85,28.55,28.84,14151
2021-07-27,28.65,28.85,28.45,28.45,13680
2021-07-28,28.79,29.21,28.48,29.21,7326
2021-07-29,29.00,29.18,28.81,29.16,3676
2021-07-30,28.35,28.39,28.00,28.29,6289
2021-08-02,28.13,28.35,27.93,28.35,16437
2021-08-03,28.42,29.03,28.28,28.80,83934
2021-08-04,29.16,29.65,29.16,29.50,203792
2021-08-05,29.31,29.42,28.85,29.18,63744
2021-08-06,29.20,29.54,28.75,29.54,13778
2021-08-09,29.24,29.71,28.96,29.71,13294
2021-08-10,29.36,29.36,29.11,29.18,13197
2021-08-11,29.41,29.67,28.98,29.53,18862
2021-08-12,29.19,29.19,28.85,28.96,5035
2021-08-13,28.84,29.21,28.67,29.21,14983
2021-08-16,28.85,29.08,28.68,29.08,10376
2021-08-17,28.50,28.55,28.10,28.55,15510
2021-08-18,28.40,28.60,28.27,28.53,6962
2021-08-19,27.71,28.02,27.59,28.02,23609
2021-08-20,27.19,27.44,26.98,27.43,21276
2021-08-23,27.75,27.98,27.69,27.69,7507
2021-08-24,28.26,28.62,28.26,28.59,13852
2021-08-25,28.39,28.77,28.29,28.52,10623
2021-08-26,28.63,29.04,28.41,29.04,16013
2021-08-27,29.12,29.82,29.12,29.82,10974
2021-08-30,28.85,30.00,28.46,30.00,6806
2021-08-31,30.09,30.09,29.06,29.06,16111
2021-09-01,29.57,29.84,29.30,29.84,30095
2021-09-02,29.65,29.65,29.32,29.62,15435
2021-09-03,29.62,29.64,29.26,29.64,7756
2021-09-07,28.80,28.80,28.42,28.42,9822
2021-09-08,28.57,28.70,28.33,28.70,10259
2021-09-09,28.10,28.10,27.74,27.87,9541
2021-09-10,28.24,28.29,27.75,28.05,12086
2021-09-13,28.14,28.44,27.92,28.43,6610
2021-09-14,28.53,28.66,28.08,28.65,13817
2021-09-15,28.44,28.68,28.15,28.68,6307
2021-09-16,28.39,28.39,27.91,28.25,9354
2021-09-17,28.14,28.27,27.60,27.63,14941
2021-09-20,27.58,28.06,27.08,27.76,6137
2021-09-21,27.55,27.82,27.23,27.52,23052
2021-09-22,27.80,27.99,27.51,27.57,23657
2021-09-23,28.07,29.00,28.07,29.00,9606
2021-09-24,28.31,28.31,27.93,28.07,13207
2021-09-27,28.53,28.82,28.53,28.82,9179
2021-09-28,28.55,28.73,28.39,28.43,12825
2021-09-29,28.58,28.74,28.27,28.74,22845
2021-09-30,29.28,29.35,28.90,28.90,15890
2021-10-01,28.95,29.40,28.87,29.40,10346
2021-10-04,29.13,29.13,28.69,29.07,7482
2021-10-05,28.98,29.12,28.70,29.10,7501
2021-10-06,28.72,28.95,28.58,28.65,14497
2021-10-07,29.28,29.53,29.13,29.13,7565
2021-10-08,29.11,29.18,28.91,28.98,3436
2021-10-11,28.90,29.27,28.63,28.73,15550
2021-10-12,29.06,29.32,28.96,29.13,10008
2021-10-13,29.66,29.66,29.42,29.63,5978
2021-10-14,29.66,29.77,29.46,29.71,18237
2021-10-15,30.06,31.00,30.03,31.00,31292
2021-10-18,30.48,31.08,30.36,31.08,9807
2021-10-19,31.43,31.61,31.42,31.50,10361
2021-10-20,32.00,32.16,31.95,32.13,10037
2021-10-21,32.17,32.33,31.70,32.30,22636
2021-10-22,32.42,32.61,32.29,32.50,9268
2021-10-25,33.02,33.42,32.74,33.15,5941
2021-10-26,33.88,34.03,33.73,33.95,20056
2021-10-27,34.00,34.22,33.83,33.91,9236
2021-10-28,33.74,33.85,33.62,33.62,5098
2021-10-29,33.54,33.60,33.24,33.58,29381
2021-11-01,33.82,33.90,33.73,33.87,9789
2021-11-02,34.03,34.24,33.97,34.21,15403
2021-11-03,33.61,33.86,33.42,33.85,8103
2021-11-04,34.21,34.40,34.03,34.38,8058
2021-11-05,33.97,33.97,33.53,33.79,10512
2021-11-08,33.75,34.03,33.74,33.74,3840
2021-11-09,33.79,33.79,33.39,33.58,8951
2021-11-10,33.45,33.45,33.19,33.40,6976
2021-11-11,33.02,33.42,33.02,33.37,9400
2021-11-12,33.35,33.51,33.32,33.32,8378
2021-11-15,33.86,34.18,33.49,33.75,19668
2021-11-16,34.05,34.35,33.92,34.35,16303
2021-11-17,33.90,33.99,33.73,33.82,17955
2021-11-18,34.08,34.38,33.86,34.22,9592
2021-11-19,33.44,33.44,32.69,33.07,27610
2021-11-22,33.80,34.02,33.63,33.98,8651
2021-11-23,34.10,34.24,33.90,34.13,8105
2021-11-24,34.27,34.30,34.00,34.09,4710
2021-11-26,32.45,32.72,31.99,32.02,12032
2021-11-29,32.01,32.34,31.80,32.29,17851
2021-11-30,31.81,32.18,31.73,31.98,16467
2021-12-01,32.01,32.09,31.49,31.58,11312
2021-12-02,31.95,32.43,31.91,32.29,19485
2021-12-03,32.37,32.37,31.86,32.18,9954
2021-12-06,32.68,33.10,32.64,33.09,10591
2021-12-07,33.48,33.52,33.24,33.37,18726
2021-12-08,33.23,33.44,33.12,33.44,7814
2021-12-09,33.08,33.08,32.93,32.97,2599
2021-12-10,33.14,33.19,33.02,33.05,4343
2021-12-13,33.09,33.18,32.91,33.05,14773
2021-12-14,33.24,33.27,32.66,32.95,23401
2021-12-15,33.32,33.44,32.93,33.39,31250
2021-12-16,33.74,33.74,32.79,32.79,25733
2021-12-17,33.61,33.88,33.61,33.83,21488
2021-12-20,33.31,33.34,33.08,33.29,7952
2021-12-21,33.53,33.85,33.53,33.83,6906
2021-12-22,33.67,33.93,33.62,33.93,12210
2021-12-23,33.84,34.06,33.65,33.90,9642
2021-12-27,33.18,33.62,32.87,33.42,9289
2021-12-28,33.32,33.54,33.15,33.54,8432
2021-12-29,32.98,33.24,32.91,33.21,12502
2021-12-30,32.37,32.46,32.12,32.19,23365
2021-12-31,32.22,32.22,32.06,32.13,6833
2022-01-03,32.35,32.55,32.07,32.55,18494
2022-01-04,32.71,32.94,32.60,32.81,16262
2022-01-05,32.68,32.90,32.52,32.60,5885
2022-01-06,32.34,32.51,32.12,32.34,9077
2022-01-07,32.66,34.00,32.61,34.00,22609
2022-01-10,34.73,35.25,34.57,35.12,39977
2022-01-11,36.20,37.99,36.20,37.90,44204
2022-01-12,38.04,38.06,37.76,37.97,29104
2022-01-13,37.97,38.41,37.70,38.01,14519
2022-01-14,37.70,38.04,37.59,38.04,17143
2022-01-18,37.63,37.63,36.71,37.07,21624
2022-01-19,37.94,38.25,37.65,37.65,12119
2022-01-20,37.27,37.66,36.69,36.83,14843
2022-01-21,37.00,37.39,36.66,36.70,9009
2022-01-24,35.72,36.04,35.06,36.04,30036
2022-01-25,35.06,35.54,34.40,35.27,16812
2022-01-26,36.01,36.26,35.59,35.72,16585
2022-01-27,34.44,36.18,34.44,35.66,21699
2022-01-28,36.01,36.22,35.89,36.22,5920
2022-01-31,36.34,36.89,36.34,36.89,5733
2022-02-01,37.06,37.57,36.76,37.30,22263
2022-02-02,37.29,37.74,37.27,37.74,16793
2022-02-03,36.83,36.96,36.52,36.60,29175
2022-02-04,38.02,38.50,37.91,38.47,29910
2022-02-07,37.85,38.22,37.65,38.03,12044
2022-02-08,38.04,38.44,38.04,38.32,12698
2022-02-09,39.12,39.71,38.70,39.52,9295
2022-02-10,38.69,39.13,38.63,38.70,10492
2022-02-11,38.29,38.29,37.42,37.56,9971
2022-02-14,36.72,37.01,36.50,36.89,8802
2022-02-15,37.08,37.12,36.60,36.75,12122
2022-02-16,36.69,37.13,36.56,36.95,19563
2022-02-17,37.32,37.67,36.95,37.09,15517
2022-02-18,37.25,37.35,36.90,36.97,9201
2022-02-22,36.88,36.97,36.52,36.74,6163
2022-02-23,36.34,36.34,35.68,35.74,10238
2022-02-24,35.00,35.56,34.54,35.56,36162
2022-02-25,35.66,36.08,35.66,36.08,10035
2022-02-28,35.42,35.63,34.54,34.54,10520
2022-03-01,35.22,35.61,34.00,34.12,24990
2022-03-02,34.09,34.82,33.82,34.38,24594
2022-03-03,34.86,35.16,34.51,34.89,11114
2022-03-04,34.02,34.02,33.67,33.85,13109
2022-03-07,33.01,33.02,31.80,31.84,37073
2022-03-08,32.53,32.88,32.24,32.69,20765
2022-03-09,33.36,33.93,32.94,33.60,20226
2022-03-10,33.77,34.05,33.67,33.91,16506
2022-03-11,34.13,34.28,33.66,33.72,10231
2022-03-14,34.42,34.77,34.07,34.20,12227
2022-03-15,34.63,35.68,34.63,35.68,37306
2022-03-16,35.68,36.34,35.28,36.24,29196
2022-03-17,36.48,36.58,36.13,36.58,5656
2022-03-18,36.48,37.42,36.48,37.00,58035
2022-03-21,36.24,36.28,35.92,36.06,10967
2022-03-22,36.63,37.53,36.63,37.35,31095
2022-03-23,37.33,37.33,36.89,36.96,17011
2022-03-24,37.39,37.55,37.11,37.46,18473
2022-03-25,37.20,37.31,37.00,37.20,26108
2022-03-28,37.43,37.88,37.41,37.77,17792
2022-03-29,38.19,39.10,38.19,38.93,19002
2022-03-30,37.92,37.97,37.60,37.79,21456
2022-03-31,37.96,37.96,37.66,37.66,22297
2022-04-01,37.83,37.98,37.67,37.79,15529
2022-04-04,37.75,38.21,37.75,38.21,26106
2022-04-05,37.26,37.26,36.36,36.37,17773
2022-04-06,36.84,36.89,36.65,36.88,11861
2022-04-07,37.09,37.35,37.02,37.26,17555
2022-04-08,37.16,37.45,37.07,37.18,12319
2022-04-11,37.62,37.81,37.35,37.38,24667
2022-04-12,37.88,38.13,37.73,37.73,22740
2022-04-13,37.50,37.89,37.22,37.89,16987
2022-04-14,37.86,37.86,37.31,37.31,22579
2022-04-18,37.18,37.58,37.14,37.32,16884
2022-04-19,38.16,38.72,38.16,38.68,24109
2022-04-20,39.00,39.51,38.97,39.51,15498
2022-04-21,39.71,39.71,38.74,38.75,20931
2022-04-22,39.26,39.64,38.64,39.51,13613
2022-04-25,38.07,38.44,37.71,38.42,17283
2022-04-26,37.85,37.85,36.56,36.67,24155
2022-04-27,36.47,36.76,36.12,36.76,21577
2022-04-28,36.40,36.65,35.98,36.40,43556
2022-04-29,35.26,35.32,34.56,34.62,27436
2022-05-02,35.18,35.29,34.59,35.03,28872
2022-05-03,35.82,36.32,35.78,36.07,19737
2022-05-04,36.33,37.22,36.21,37.22,11750
2022-05-05,36.83,36.83,35.79,35.81,30319
2022-05-06,35.86,36.08,35.60,35.84,19501
2022-05-09,35.81,36.53,35.63,36.06,82246
2022-05-10,35.49,36.58,35.47,35.80,261150
2022-05-11,34.36,35.19,34.05,34.05,99578
2022-05-12,34.29,35.23,34.29,35.15,62546
2022-05-13,36.78,37.27,36.78,37.18,40474
2022-05-16,36.98,37.39,36.72,36.99,83792
2022-05-17,37.55,37.81,36.85,36.97,34794
2022-05-18,35.27,35.77,34.70,35.28,111186
2022-05-19,33.54,34.20,33.54,33.77,48300
2022-05-20,34.73,34.73,33.89,34.36,29804
2022-05-23,34.75,35.32,34.70,35.04,49508
2022-05-24,35.19,35.54,34.99,35.54,35819
2022-05-25,35.13,35.39,34.93,35.39,18467
2022-05-26,35.28,35.82,35.28,35.70,18557
2022-05-27,35.95,36.66,35.95,36.62,61200
2022-05-31,36.35,36.61,35.93,35.98,75101
2022-06-01,36.18,36.39,35.79,36.25,68293
2022-06-02,35.41,36.20,35.31,35.93,69178
2022-06-03,35.06,35.83,35.06,35.38,66725
2022-06-06,35.74,35.87,35.13,35.43,50292
2022-06-07,34.90,35.50,34.90,35.32,44882
2022-06-08,35.39,35.65,35.10,35.36,30257
2022-06-09,35.54,35.54,34.73,34.74,15111
2022-06-10,34.27,34.32,33.85,33.90,27784
2022-06-13,32.70,32.70,32.02,32.13,37148
2022-06-14,32.78,33.34,32.78,33.12,28287
2022-06-15,32.85,32.99,32.02,32.63,114808
2022-06-16,32.09,32.09,31.41,32.02,71333
2022-06-17,31.78,31.78,31.33,31.62,29326
2022-06-21,31.14,31.47,31.14,31.21,59866
2022-06-22,30.01,30.27,29.79,30.04,58757
2022-06-23,30.07,30.07,29.05,29.58,59069
2022-06-24,29.89,30.87,29.81,30.87,61372
2022-06-27,30.24,30.24,29.43,29.57,76071
2022-06-28,29.48,29.97,29.11,29.11,70656
2022-06-29,28.35,28.35,27.90,28.05,61268
2022-06-30,27.79,28.47,27.57,28.28,51978
2022-07-01,27.75,28.16,27.46,27.93,52398
2022-07-05,27.41,27.41,26.66,27.31,47905
2022-07-06,26.97,26.97,26.00,26.24,78780
2022-07-07,26.61,26.98,26.61,26.74,50585
2022-07-08,26.90,27.25,26.80,27.14,52157
2022-07-11,26.49,26.61,26.27,26.29,39872
2022-07-12,26.05,26.40,26.05,26.13,60387
2022-07-13,26.23,26.50,25.99,26.42,36894
2022-07-14,25.69,25.69,25.27,25.55,35112
2022-07-15,24.95,25.54,24.95,25.42,54766
2022-07-18,26.33,26.79,26.25,26.42,60027
2022-07-19,26.76,27.30,26.72,27.17,99681
2022-07-20,27.28,27.40,27.10,27.12,40874
2022-07-21,27.89,27.94,27.39,27.83,67700
2022-07-22,27.34,27.66,27.04,27.04,36550
2022-07-25,27.23,27.51,27.09,27.27,85584
2022-07-26,27.25,27.27,26.66,26.74,96917
2022-07-27,26.96,27.50,26.95,27.46,36822
2022-07-28,27.34,27.36,26.87,27.29,35041
2022-07-29,27.50,27.65,27.18,27.65,25687
2022-08-01,27.24,27.24,26.95,27.20,53620
2022-08-02,26.93,27.17,26.78,26.86,43381
2022-08-03,27.24,27.45,27.06,27.41,31819
2022-08-04,27.03,27.29,26.93,27.08,38068
2022-08-05,27.02,27.32,26.99,27.32,43321
2022-08-08,27.92,28.10,27.41,27.64,137910
2022-08-09,27.66,27.77,26.77,27.44,150298
2022-08-10,27.41,27.91,27.41,27.81,94550
2022-08-11,28.20,28.53,27.99,28.16,24637
2022-08-12,28.42,28.53,28.21,28.53,33837
2022-08-15,28.31,28.40,27.91,28.40,41942
2022-08-16,28.06,28.38,28.06,28.29,26920
2022-08-17,28.21,28.21,27.87,28.03,26315
2022-08-18,27.60,27.60,27.40,27.53,28530
2022-08-19,27.76,27.76,27.30,27.65,62544
2022-08-22,27.00,27.01,26.73,26.78,45699
2022-08-23,26.57,27.02,26.57,26.84,59491
2022-08-24,26.91,27.27,26.91,27.18,62756
2022-08-25,27.36,27.65,27.36,27.64,33477
2022-08-26,27.62,27.67,26.87,26.88,56134
2022-08-29,26.49,26.68,26.22,26.35,117435
2022-08-30,26.46,26.67,26.19,26.35,74193
2022-08-31,27.04,27.04,26.62,26.70,79269
2022-09-01,25.53,25.53,25.03,25.46,63367
2022-09-02,25.29,25.63,24.99,25.12,78069
2022-09-06,25.08,25.15,24.68,24.74,65338
2022-09-07,24.28,24.77,24.28,24.75,107140
2022-09-08,24.37,24.63,24.29,24.50,70761
2022-09-09,24.67,24.88,24.67,24.76,88864
2022-09-12,24.97,25.26,24.95,25.08,68908
2022-09-13,25.29,25.29,24.57,24.58,78254
2022-09-14,24.61,24.90,24.61,24.80,46414
2022-09-15,24.90,25.08,24.77,24.82,42219
2022-09-16,24.89,25.58,24.89,25.48,65975
2022-09-19,25.13,25.48,25.13,25.47,65623
2022-09-20,25.30,25.43,25.08,25.27,42885
2022-09-21,25.36,25.56,25.14,25.19,44754
2022-09-22,25.17,25.22,24.83,24.98,50760
2022-09-23,24.74,24.90,24.33,24.54,61298
