date,open,high,low,close,volume
2016-09-15,46.12,46.35,45.19,46.15,61166130
2016-09-16,45.70,45.87,45.25,45.43,51780260
2016-09-19,45.62,46.29,45.48,46.01,33543620
2016-09-20,47.15,47.20,46.12,46.56,51430960
2016-09-21,46.51,46.54,45.33,45.83,64494140
2016-09-22,45.83,46.12,45.37,45.72,36951050
2016-09-23,45.50,45.91,45.43,45.74,28695450
2016-09-26,45.37,45.50,44.65,44.88,30930010
2016-09-27,44.79,45.10,44.66,45.09,24336900
2016-09-28,45.36,45.48,44.95,45.31,28199380
2016-09-29,45.19,45.26,44.21,44.37,45217350
2016-09-30,44.33,44.73,44.10,44.28,54077520
2016-10-03,44.12,44.16,43.56,43.83,38177510
2016-10-04,43.62,44.09,43.55,43.75,44001510
2016-10-05,43.83,45.08,43.83,44.99,40429130
2016-10-06,45.18,45.39,44.83,45.18,29875370
2016-10-07,45.20,45.45,44.93,45.33,24891340
2016-10-10,45.70,45.92,45.44,45.65,21784720
2016-10-11,45.80,45.81,45.15,45.45,25439780
2016-10-12,45.51,45.83,45.31,45.32,21524540
2016-10-13,45.24,45.24,44.28,44.75,44124520
2016-10-14,45.17,45.52,44.31,44.71,45403180
2016-10-17,44.54,44.76,44.32,44.50,18850530
2016-10-18,44.75,45.00,44.41,44.95,23870380
2016-10-19,44.86,45.53,44.86,45.26,26960730
2016-10-20,44.97,45.29,44.66,44.93,27192280
2016-10-21,44.74,45.30,44.66,45.09,21470470
2016-10-24,45.45,45.68,45.29,45.52,19295120
2016-10-25,45.47,45.80,45.41,45.72,20401000
2016-10-26,45.46,46.17,45.44,46.15,25180850
2016-10-27,46.42,46.81,46.26,46.41,25651080
2016-10-28,46.57,46.64,45.88,46.23,20676570
2016-10-31,46.40,46.56,46.00,46.01,20114310
2016-11-01,46.12,46.28,45.60,45.99,20019330
2016-11-02,45.38,45.51,45.07,45.24,19551530
2016-11-03,45.33,45.79,45.25,45.34,14944970
2016-11-04,45.36,45.42,44.49,44.60,27382110
2016-11-07,45.22,45.69,45.21,45.40,25756750
2016-11-08,45.18,45.82,44.87,45.54,19442350
2016-11-09,46.33,48.61,46.00,47.99,67578760
2016-11-10,48.93,51.93,48.79,51.63,100942400
2016-11-11,51.09,51.99,50.73,51.73,46592420
2016-11-14,51.91,54.06,51.91,53.22,59055670
2016-11-15,52.38,52.59,51.54,52.59,39421290
2016-11-16,51.79,52.17,51.36,51.68,26891750
2016-11-17,51.39,52.90,50.96,52.49,29195680
2016-11-18,52.45,52.98,51.99,52.82,29672610
2016-11-21,52.85,52.98,52.02,52.12,23530370
2016-11-22,52.43,52.58,51.81,52.22,22806230
2016-11-23,52.44,52.63,51.95,52.16,20014420
2016-11-25,52.40,52.62,52.04,52.62,9635745
2016-11-28,52.12,52.48,51.39,51.58,26465540
2016-11-29,51.56,52.13,51.56,51.86,16253900
2016-11-30,52.48,53.16,52.30,52.92,26552070
2016-12-01,53.13,54.47,53.06,54.34,35619970
2016-12-02,54.24,54.27,53.31,53.58,21626140
2016-12-05,53.90,54.53,53.87,54.35,24787550
2016-12-06,54.45,55.57,54.22,55.55,30702920
2016-12-07,55.55,57.29,55.23,57.28,46606120
2016-12-08,57.29,58.02,56.71,57.29,39816680
2016-12-09,56.91,57.24,56.49,57.14,20322750
2016-12-12,56.50,57.10,55.55,55.78,27765680
2016-12-13,55.85,56.21,55.29,55.84,24015890
2016-12-14,54.74,55.62,54.03,54.70,54560760
2016-12-15,55.17,56.25,54.90,55.19,31327830
2016-12-16,55.49,55.65,54.92,55.34,33168380
2016-12-19,55.18,55.47,54.65,55.22,16801140
2016-12-20,55.47,56.32,55.15,56.10,19244110
2016-12-21,56.09,56.09,55.63,55.71,14036000
2016-12-22,55.76,56.03,55.50,55.75,14500980
2016-12-23,55.78,55.98,55.62,55.96,8312556
2016-12-27,55.90,56.10,55.84,55.95,8859943
2016-12-28,55.98,56.08,55.27,55.32,10412710
2016-12-29,55.19,55.46,54.48,54.84,15897160
2016-12-30,54.89,55.36,54.79,55.11,15094270
2017-01-03,55.67,56.35,55.46,56.00,22062440
2017-01-04,56.16,56.31,55.61,56.05,15032070
2017-01-05,55.49,55.82,54.48,55.18,18745030
2017-01-06,55.26,55.57,54.70,55.04,18712920
2017-01-09,54.68,54.81,54.18,54.24,21772940
2017-01-10,54.35,55.18,54.26,54.62,17978120
2017-01-11,54.60,54.80,53.72,54.80,20758250
2017-01-12,54.65,54.78,53.90,54.50,20547430
2017-01-13,55.11,56.20,54.65,55.31,37214810
