date,open,high,low,close,volume
2016-09-15,29.93,30.28,29.72,29.84,5393607
2016-09-16,29.33,30.00,29.30,29.76,13203020
2016-09-19,30.17,30.51,29.89,30.00,5223430
2016-09-20,29.88,30.15,29.72,29.75,5819148
2016-09-21,30.25,31.11,30.24,30.99,8334348
2016-09-22,31.27,31.30,30.52,30.66,4939759
2016-09-23,30.52,31.00,30.16,30.34,4607352
2016-09-26,30.62,31.04,30.23,30.36,6612294
2016-09-27,30.04,30.71,29.83,30.65,6915139
2016-09-28,30.83,31.07,30.02,31.00,9112530
2016-09-29,30.85,30.88,30.05,30.39,10113080
2016-09-30,30.79,30.97,30.39,30.73,6703484
2016-10-03,30.81,30.93,30.41,30.63,4293904
2016-10-04,30.72,30.81,29.94,30.21,4526703
2016-10-05,30.58,30.90,30.45,30.53,5005711
2016-10-06,30.59,30.83,30.19,30.51,5901529
2016-10-07,30.58,30.73,30.31,30.38,4270430
2016-10-10,30.73,30.76,30.42,30.57,4721535
2016-10-11,30.42,30.45,29.71,30.30,5611081
2016-10-12,30.39,30.39,29.57,29.89,5578109
2016-10-13,29.77,30.24,28.90,29.20,11575690
2016-10-14,29.53,29.72,29.07,29.13,6552828
2016-10-17,29.15,29.20,28.87,29.07,5038661
2016-10-18,29.47,29.57,28.89,29.24,4194423
2016-10-19,29.44,30.54,29.24,30.05,9650511
2016-10-20,29.93,30.33,29.58,30.18,7060017
2016-10-21,29.90,30.47,29.79,30.23,6061966
2016-10-24,30.23,30.25,29.57,30.05,4377815
2016-10-25,29.95,30.21,29.13,29.17,5431181
2016-10-26,28.83,29.59,28.72,29.56,3523358
2016-10-27,29.71,30.04,29.25,29.36,5160702
2016-10-28,29.40,29.90,28.91,29.67,7246958
2016-10-31,29.48,30.37,28.56,29.20,8394453
2016-11-01,29.63,29.74,27.81,28.57,7881367
2016-11-02,28.22,28.48,27.35,28.11,6741382
2016-11-03,28.27,28.83,28.26,28.45,4137269
2016-11-04,28.39,29.38,28.26,28.60,3625219
2016-11-07,29.04,29.51,29.01,29.25,3908311
2016-11-08,29.01,29.95,28.98,29.84,3309209
2016-11-09,30.05,31.85,29.97,30.72,11014910
2016-11-10,30.68,31.18,30.35,30.64,8756537
