date,open,high,low,close,volume
2016-09-15,23.83,24.19,23.75,24.13,21986612
2016-09-16,24.11,24.32,24.07,24.29,41789434
2016-09-19,24.21,24.29,24.03,24.03,20740757
2016-09-20,24.05,24.18,23.97,23.99,17730527
2016-09-21,24.06,24.18,23.84,24.06,20012603
2016-09-22,24.14,24.18,24.00,24.09,17606153
2016-09-23,24.20,24.26,24.11,24.12,23087501
2016-09-26,24.10,24.11,23.84,23.87,17822852
2016-09-27,23.98,24.16,23.86,24.11,19016168
2016-09-28,24.07,24.11,23.79,23.93,18543773
2016-09-29,23.86,23.90,23.54,23.58,23955425
2016-09-30,23.83,24.15,23.80,24.04,29918439
2016-10-03,23.94,24.05,23.87,24.00,17571725
2016-10-04,24.00,24.19,23.85,23.92,19707845
2016-10-05,23.96,24.09,23.87,23.89,19384544
2016-10-06,23.40,23.48,22.96,23.12,60274386
2016-10-07,23.09,23.16,22.72,22.90,37941094
2016-10-10,22.92,22.99,22.58,22.66,26944704
2016-10-11,22.65,22.65,22.43,22.46,25756122
2016-10-12,22.58,22.64,22.46,22.49,26814525
2016-10-13,22.40,22.85,22.36,22.74,27562095
2016-10-14,22.81,22.94,22.74,22.82,19247726
2016-10-17,22.88,22.88,22.60,22.74,22480151
2016-10-18,22.86,22.99,22.74,22.96,23538953
2016-10-19,23.07,23.11,22.90,22.96,21343616
2016-10-20,22.99,23.03,22.86,22.91,18858545
2016-10-21,22.78,22.88,22.66,22.78,23516009
2016-10-24,22.87,23.12,22.80,23.06,21470588
2016-10-25,23.00,23.29,23.00,23.12,22889222
2016-10-26,23.10,23.27,23.05,23.20,15140630
2016-10-27,23.20,23.33,23.13,23.28,21385796
2016-10-28,23.27,23.40,23.24,23.33,20846225
2016-10-31,23.35,23.39,23.28,23.34,19167119
2016-11-01,23.33,23.35,23.05,23.10,26496402
2016-11-02,23.07,23.32,23.07,23.15,22935365
2016-11-03,23.21,23.36,23.12,23.21,20411453
2016-11-04,23.24,23.31,23.04,23.05,21781832
2016-11-07,23.21,23.28,23.05,23.26,29255058
2016-11-08,23.24,23.35,23.16,23.26,22858697
2016-11-09,23.10,23.83,23.10,23.70,50297675
2016-11-10,23.75,24.03,23.67,23.80,42946504
2016-11-11,23.70,23.76,23.53,23.74,24642920
2016-11-14,23.72,23.77,23.40,23.50,38732464
2016-11-15,23.60,23.81,23.45,23.81,29145816
2016-11-16,23.92,24.02,23.78,23.80,33537633
2016-11-17,23.03,23.17,22.71,23.06,70232977
2016-11-18,22.98,23.13,22.81,22.85,33361263
2016-11-21,22.87,23.13,22.81,23.12,25016760
