date,open,high,low,close,volume
2021-01-04,70.52,70.61,67.82,67.82,1298888
2021-01-05,68.01,68.82,67.82,67.86,849609
2021-01-06,68.32,68.66,67.15,67.76,1240067
2021-01-07,67.73,67.83,66.15,66.69,1405618
2021-01-08,66.94,67.60,66.13,66.53,962784
2021-01-11,66.63,66.93,66.13,66.20,887754
2021-01-12,66.25,66.33,65.59,66.15,1589225
2021-01-13,66.22,67.19,66.22,66.42,1080181
2021-01-14,66.83,67.02,66.33,66.44,1038109
2021-01-15,67.24,67.26,65.94,67.07,1154529
2021-01-19,67.40,67.44,66.45,66.74,1077770
2021-01-20,66.60,67.32,66.21,66.86,1662406
2021-01-21,66.33,66.89,65.58,66.48,1899922
2021-01-22,66.33,67.17,65.72,67.10,1069806
2021-01-25,66.96,67.59,66.28,67.01,883970
2021-01-26,67.54,68.18,67.17,67.83,705495
2021-01-27,67.28,67.72,66.35,66.63,1062155
2021-01-28,66.77,68.22,66.66,67.30,746636
2021-01-29,66.83,67.52,66.01,66.23,919393
2021-02-01,66.41,67.15,65.93,67.09,1928992
2021-02-02,67.49,68.52,67.01,68.33,782126
2021-02-03,67.97,68.37,67.55,67.93,852299
2021-02-04,68.11,68.74,67.96,68.03,1422202
2021-02-05,68.60,68.82,67.58,67.68,930006
2021-02-08,67.76,68.23,67.10,68.07,974498
2021-02-09,68.50,68.83,68.10,68.50,570392
2021-02-10,68.72,69.72,68.60,68.70,683722
2021-02-11,68.65,69.42,68.52,68.87,809287
2021-02-12,69.03,70.33,68.72,70.21,1031914
2021-02-16,70.57,71.78,68.43,68.98,1265531
2021-02-17,68.83,69.20,68.44,68.44,681351
2021-02-18,68.32,68.68,67.62,67.71,858756
2021-02-19,67.94,68.56,67.58,68.15,927395
2021-02-22,68.33,69.15,67.97,68.65,999762
2021-02-23,69.27,70.28,68.89,70.27,1006581
2021-02-24,70.42,71.73,70.00,71.55,941101
2021-02-25,71.80,72.31,69.26,69.77,954825
2021-02-26,69.82,70.16,68.34,68.36,1179324
2021-03-01,69.88,70.47,68.06,68.06,1213158
2021-03-02,68.07,68.34,67.19,67.69,1276971
2021-03-03,67.68,68.49,67.37,67.82,939338
2021-03-04,68.02,68.19,66.54,67.02,1366220
2021-03-05,67.23,67.69,65.95,67.53,1340293
2021-03-08,68.03,68.60,67.44,67.87,859333
2021-03-09,67.87,68.32,67.42,67.42,1004378
2021-03-10,67.59,68.48,67.45,68.15,917281
2021-03-11,68.48,68.55,67.64,67.84,1337452
2021-03-12,68.13,69.25,67.70,69.08,1207695
2021-03-15,69.27,70.36,68.92,69.82,1096771
2021-03-16,69.82,70.23,69.43,69.73,1046200
2021-03-17,69.62,70.86,69.57,70.86,1272553
2021-03-18,70.56,70.82,69.06,69.27,1257708
2021-03-19,69.12,69.52,68.40,68.40,1441017
2021-03-22,68.82,69.90,68.67,69.73,1656179
2021-03-23,69.53,70.10,69.02,69.31,883217
2021-03-24,69.54,70.37,68.93,68.93,1184531
2021-03-25,68.82,70.04,67.99,69.73,1064846
2021-03-26,70.13,71.26,69.77,71.18,2476330
2021-03-29,71.20,71.76,70.98,71.33,2078049
2021-03-30,69.77,70.73,69.77,70.51,1068980
2021-03-31,70.24,71.78,69.99,70.58,1947910
2021-04-01,71.07,72.18,70.80,72.17,1144142
2021-04-05,72.31,72.61,71.19,71.91,1100737
2021-04-06,71.66,72.26,71.56,72.25,986513
2021-04-07,71.45,72.03,70.47,70.83,1088028
2021-04-08,70.83,71.53,70.54,70.76,686393
2021-04-09,70.71,70.95,70.06,70.39,591712
2021-04-12,70.39,71.08,69.97,71.07,640206
2021-04-13,71.12,71.72,70.76,71.69,550277
2021-04-14,71.71,71.90,71.13,71.26,527380
2021-04-15,71.54,72.06,71.22,72.02,868464
2021-04-16,72.29,72.47,71.88,71.91,567953
2021-04-19,72.14,72.93,71.72,72.93,580892
2021-04-20,72.73,73.64,72.37,73.52,606182
2021-04-21,73.69,74.00,73.16,73.73,659790
2021-04-22,73.76,74.21,73.46,73.58,711207
2021-04-23,73.52,73.78,72.82,73.19,571059
2021-04-26,73.78,73.82,73.21,73.48,451750
2021-04-27,73.54,73.57,72.93,72.96,656182
2021-04-28,73.08,73.39,72.65,72.68,626168
2021-04-29,73.36,74.17,72.69,73.19,626536
2021-04-30,72.79,74.93,72.68,74.70,1135092
2021-05-03,75.46,76.28,74.46,75.48,1155865
2021-05-04,75.57,76.17,74.93,75.11,918760
2021-05-05,74.84,75.05,73.71,74.00,728260
2021-05-06,74.17,74.49,73.46,73.81,709326
2021-05-07,73.59,75.15,73.59,74.95,975217
2021-05-10,75.33,75.86,74.82,74.84,676481
2021-05-11,74.35,74.80,72.87,73.45,1116896
2021-05-12,73.31,73.45,71.53,71.54,864228
2021-05-13,71.53,73.42,71.53,72.76,898209
2021-05-14,73.05,73.62,72.99,73.46,500634
2021-05-17,73.46,73.95,73.31,73.65,667792
2021-05-18,73.58,74.05,73.22,73.61,509861
2021-05-19,73.03,74.17,72.71,74.16,882988
2021-05-20,74.16,75.11,73.91,74.83,788956
2021-05-21,74.92,75.25,74.31,74.81,605167
2021-05-24,75.20,75.81,74.93,75.40,542444
2021-05-25,75.34,75.72,74.95,75.23,577922
2021-05-26,75.30,75.75,75.01,75.07,533402
2021-05-27,75.31,75.31,74.04,74.19,1062843
2021-05-28,74.53,75.56,74.35,75.26,1243386
2021-06-01,75.80,76.87,75.57,76.87,1168989
2021-06-02,76.90,78.28,76.53,78.09,946332
