date,open,high,low,close,volume
2016-09-15,26.77,27.38,26.41,26.98,4292795
2016-09-16,26.63,27.11,26.16,26.60,6792950
2016-09-19,26.99,27.23,26.76,26.91,4114282
2016-09-20,26.97,27.01,26.51,26.77,3963711
2016-09-21,27.33,28.92,27.23,28.86,7373719
2016-09-22,29.31,29.53,28.38,28.69,6115553
2016-09-23,28.53,28.68,27.63,27.82,3748286
2016-09-26,28.18,28.19,27.51,27.54,3283786
2016-09-27,27.27,27.47,26.90,27.25,3297829
2016-09-28,27.25,28.04,26.85,27.84,4298831
2016-09-29,27.71,28.00,27.28,27.65,3591446
2016-09-30,28.14,28.29,27.01,27.03,4553223
2016-10-03,26.95,27.23,25.95,26.27,4127066
2016-10-04,25.35,25.35,23.51,23.56,10759080
2016-10-05,23.92,23.92,22.69,23.24,6455643
2016-10-06,22.57,23.09,22.39,22.80,6295228
2016-10-07,23.41,23.59,22.12,22.58,6976845
2016-10-10,22.90,23.16,22.68,22.86,3478213
2016-10-11,22.62,23.07,22.36,22.57,4885875
2016-10-12,22.83,23.33,22.50,23.05,4206703
2016-10-13,22.86,23.65,22.63,23.11,4399132
2016-10-14,22.86,23.48,22.77,22.86,3377257
2016-10-17,22.93,23.25,22.89,23.15,2685726
2016-10-18,23.65,24.10,23.20,24.08,5427008
2016-10-19,24.55,24.69,23.98,24.36,6624693
2016-10-20,24.32,24.46,23.98,24.41,3267257
2016-10-21,24.58,24.60,24.18,24.33,2513873
2016-10-24,24.56,24.61,23.55,23.85,4065295
2016-10-25,24.04,24.55,23.86,24.29,3745547
2016-10-26,24.27,24.38,23.74,23.95,3201047
2016-10-27,24.02,24.14,23.19,23.42,3525185
2016-10-28,23.30,23.84,23.04,23.44,4349116
2016-10-31,23.51,24.16,23.27,24.11,3502119
2016-11-01,24.79,24.94,24.34,24.35,5118622
2016-11-02,24.88,25.27,23.78,24.00,6608531
2016-11-03,23.73,24.56,23.70,24.42,3898180
2016-11-04,24.38,24.50,23.37,23.80,5256249
2016-11-07,23.18,23.47,22.68,23.34,4117497
2016-11-08,23.47,24.26,23.22,23.56,4407695
2016-11-09,24.97,24.97,23.42,24.08,7486060
2016-11-10,23.59,23.80,19.96,20.01,13545500
2016-11-11,20.24,20.51,17.78,17.92,12229050
2016-11-14,17.54,18.69,17.16,18.37,8429733
2016-11-15,18.52,19.84,18.35,19.68,9886305
