date,open,high,low,close,volume
2016-09-15,23.41,23.64,23.36,23.59,12250048
2016-09-16,23.32,23.42,23.27,23.38,17158004
2016-09-19,23.48,23.57,23.38,23.41,7337564
2016-09-20,23.59,23.62,23.34,23.34,7998774
2016-09-21,23.48,23.73,23.43,23.70,11191868
2016-09-22,23.87,23.98,23.71,23.77,5991382
2016-09-23,23.70,23.81,23.65,23.66,8620414
2016-09-26,23.67,23.70,23.52,23.55,7515626
2016-09-27,23.46,23.64,23.43,23.61,6643504
2016-09-28,23.67,23.91,23.56,23.89,9133218
2016-09-29,23.79,23.95,23.62,23.70,9321502
2016-09-30,23.84,23.96,23.77,23.88,9390540
2016-10-03,23.89,23.95,23.82,23.84,16199472
2016-10-04,23.88,23.93,23.48,23.52,11833584
2016-10-05,23.57,23.78,23.57,23.68,13485574
2016-10-06,23.62,23.89,23.59,23.88,10459550
2016-10-07,23.91,23.91,23.35,23.43,11781702
2016-10-10,23.57,23.74,23.52,23.57,6183884
2016-10-11,23.41,23.43,23.10,23.25,22701080
2016-10-12,23.27,23.29,23.09,23.20,8116312
2016-10-13,22.95,23.14,22.78,23.09,9875398
2016-10-14,23.18,23.32,23.14,23.16,9537412
2016-10-17,23.17,23.27,23.14,23.18,6522902
2016-10-18,23.41,23.46,23.31,23.39,5821148
2016-10-19,23.45,23.60,23.36,23.56,5369586
2016-10-20,23.53,23.62,23.38,23.54,5442738
2016-10-21,23.35,23.55,23.30,23.53,7725792
2016-10-24,23.62,23.66,23.52,23.59,6041430
2016-10-25,23.48,23.57,23.32,23.37,6744044
2016-10-26,23.34,23.38,23.23,23.34,6690220
2016-10-27,23.39,23.43,23.20,23.30,9517124
2016-10-28,23.38,23.56,23.24,23.36,10611496
2016-10-31,23.37,23.45,23.33,23.38,14324200
2016-11-01,23.43,23.52,23.11,23.24,28453900
2016-11-02,23.27,23.32,23.11,23.11,11679670
2016-11-03,23.10,23.24,23.06,23.12,8482738
2016-11-04,23.12,23.32,23.09,23.20,8831320
2016-11-07,23.47,23.55,23.39,23.55,14197092
2016-11-08,23.50,23.70,23.45,23.63,10583680
2016-11-09,23.61,24.18,23.43,24.13,29505300
2016-11-10,24.24,24.53,24.23,24.41,40670660
2016-11-11,24.38,24.40,23.93,24.07,13427654
2016-11-14,24.18,24.21,23.98,24.13,16677906
2016-11-15,24.11,24.23,23.95,24.23,13921380
2016-11-16,24.18,24.27,24.10,24.18,7432976
2016-11-17,24.26,24.28,24.07,24.20,8182528
2016-11-18,24.19,24.19,24.09,24.16,7788324
2016-11-21,24.20,24.45,24.20,24.45,7597818
2016-11-22,24.51,24.64,24.44,24.59,10270108
2016-11-23,24.55,24.72,24.48,24.70,6981720
2016-11-25,24.73,24.80,24.69,24.78,3205178
2016-11-28,24.80,24.80,24.63,24.68,9032304
2016-11-29,24.59,24.80,24.50,24.70,6860788
2016-11-30,24.84,25.03,24.75,24.97,14855452
2016-12-01,25.05,25.16,24.91,24.98,16413434
2016-12-02,24.96,25.07,24.84,24.99,12528264
2016-12-05,25.09,25.27,25.03,25.18,10625318
2016-12-06,25.18,25.22,25.02,25.21,13429622
2016-12-07,25.27,25.59,25.21,25.57,14901424
2016-12-08,25.61,25.84,25.59,25.75,14014218
2016-12-09,25.81,25.81,25.62,25.75,8984036
2016-12-12,25.79,25.84,25.62,25.64,9472972
2016-12-13,25.73,25.75,25.44,25.59,9274570
2016-12-14,25.59,25.63,25.25,25.29,18738332
2016-12-15,25.20,25.52,25.16,25.45,12524478
2016-12-16,25.39,25.39,25.14,25.21,10354676
2016-12-19,25.14,25.23,25.07,25.16,6404330
2016-12-20,25.13,25.20,25.05,25.18,8850834
2016-12-21,25.27,25.29,25.15,25.19,6560270
2016-12-22,25.16,25.20,25.01,25.09,6630878
2016-12-23,25.16,25.16,24.98,25.14,4314796
2016-12-27,25.20,25.30,25.11,25.27,7773054
2016-12-28,25.36,25.48,25.00,25.02,6155620
2016-12-29,25.00,25.12,24.98,25.02,5727036
2016-12-30,25.05,25.09,24.75,24.85,9859816
2017-01-03,24.91,25.14,24.82,25.00,15473932
2017-01-04,25.09,25.41,25.09,25.36,8180430
2017-01-05,25.33,25.43,25.20,25.29,7806034
2017-01-06,25.29,25.33,25.17,25.31,5894164
2017-01-09,25.29,25.55,25.27,25.30,14201192
2017-01-10,25.32,25.41,25.21,25.32,5688322
2017-01-11,25.27,25.54,25.27,25.52,13199802
2017-01-12,25.52,25.52,25.32,25.48,6306802
2017-01-13,25.48,25.50,25.37,25.43,4896898
2017-01-17,25.37,25.43,25.24,25.32,7363314
