date,open,high,low,close,volume
2016-09-15,33.92,34.45,33.87,34.20,34295200
2016-09-16,33.51,33.85,33.51,33.73,34186500
2016-09-19,34.00,34.09,33.70,33.70,23563640
2016-09-20,33.66,33.90,33.44,33.46,28241560
2016-09-21,33.75,34.25,33.71,34.23,40475540
2016-09-22,34.60,34.73,34.25,34.27,26606640
2016-09-23,34.11,34.42,33.62,33.82,46124640
2016-09-26,33.94,34.12,33.60,33.67,26477480
2016-09-27,33.34,33.53,33.07,33.45,38768740
2016-09-28,33.64,34.94,33.35,34.89,82155020
2016-09-29,34.87,35.23,34.52,34.83,53903500
2016-09-30,35.08,35.49,34.85,35.30,28671540
2016-10-03,35.37,35.42,34.98,35.28,26270880
2016-10-04,35.31,35.40,34.78,34.92,23660460
2016-10-05,35.27,35.62,35.24,35.45,25807220
2016-10-06,35.56,35.67,35.19,35.51,22333600
2016-10-07,35.52,35.66,35.20,35.30,23476400
2016-10-10,35.66,35.99,35.62,35.86,23046540
2016-10-11,35.73,35.80,35.26,35.45,27377260
2016-10-12,35.30,35.42,35.00,35.30,20826420
2016-10-13,35.08,35.28,34.65,35.10,27068360
2016-10-14,35.28,35.40,34.88,34.90,22710780
2016-10-17,34.91,35.02,34.54,34.73,14839784
2016-10-18,35.08,35.15,34.72,34.87,13855538
2016-10-19,35.14,35.63,35.10,35.37,28610180
2016-10-20,35.16,35.47,34.96,35.33,24975360
2016-10-21,35.09,35.16,34.89,35.09,28138160
2016-10-24,35.09,35.22,34.60,34.99,21268360
2016-10-25,34.98,35.35,34.77,34.83,26364560
2016-10-26,34.52,35.06,34.46,34.91,35522100
2016-10-27,35.06,35.11,34.77,34.78,28368240
2016-10-28,34.72,35.22,34.47,34.69,37116760
2016-10-31,34.56,34.74,34.25,34.31,25902900
2016-11-01,34.56,34.69,33.94,34.31,37616220
2016-11-02,33.99,34.11,33.50,33.94,45923340
2016-11-03,33.94,34.13,33.75,34.07,25494340
2016-11-04,33.90,34.23,33.68,33.88,35075920
2016-11-07,34.27,34.63,34.27,34.62,29433720
2016-11-08,34.45,34.85,34.40,34.66,22223880
2016-11-09,34.78,35.48,34.38,35.23,51923080
2016-11-10,35.20,35.64,35.08,35.38,41248060
2016-11-11,35.16,35.23,34.45,34.73,35264580
2016-11-14,34.60,34.96,34.41,34.92,24934760
2016-11-15,35.23,35.93,35.20,35.91,38410220
2016-11-16,35.83,36.07,35.55,35.66,33189460
2016-11-17,35.96,36.20,35.33,35.42,20508580
2016-11-18,35.55,35.77,35.37,35.56,23896900
2016-11-21,36.06,36.45,36.06,36.41,33666520
2016-11-22,36.42,36.60,35.95,36.39,32015460
2016-11-23,36.22,36.66,36.17,36.54,22919600
2016-11-25,36.38,36.47,36.18,36.36,17583566
2016-11-28,36.53,36.55,35.79,35.85,37547740
2016-11-29,35.31,35.63,35.03,35.41,36712940
2016-11-30,36.65,37.56,36.65,37.22,89702420
2016-12-01,37.91,38.03,37.27,37.30,54808040
2016-12-02,37.28,37.59,37.18,37.41,36647680
2016-12-05,37.76,38.05,37.59,37.74,45000040
2016-12-06,37.52,37.83,37.29,37.67,33914620
2016-12-07,37.59,38.03,37.59,37.98,31989080
2016-12-08,38.08,38.23,37.78,38.18,29189740
2016-12-09,38.38,38.38,38.08,38.30,17938568
2016-12-12,39.15,39.23,38.32,38.48,32243020
2016-12-13,38.77,39.20,38.41,38.91,32015660
2016-12-14,38.73,38.88,38.03,38.13,39644000
2016-12-15,37.98,38.36,37.76,38.22,38022600
2016-12-16,38.29,38.29,38.06,38.26,33741800
2016-12-19,38.22,38.28,38.01,38.08,14216508
2016-12-20,38.27,38.33,37.89,37.99,17956168
2016-12-21,38.08,38.23,37.87,38.05,16199616
2016-12-22,38.08,38.31,38.01,38.21,21938580
2016-12-23,38.15,38.25,38.09,38.17,12792464
2016-12-27,38.23,38.39,38.20,38.26,20003520
2016-12-28,38.34,38.36,37.81,37.84,16182498
2016-12-29,37.79,37.90,37.63,37.77,13392884
2016-12-30,37.73,37.95,37.54,37.66,17705116
2017-01-03,38.05,38.41,37.68,38.09,49240660
2017-01-04,38.12,38.19,37.88,38.01,22350860
2017-01-05,38.03,38.17,37.73,37.91,22280920
2017-01-06,38.03,38.07,37.70,37.95,14820846
2017-01-09,37.70,37.73,37.34,37.40,21893500
2017-01-10,37.37,37.45,37.02,37.05,19315878
2017-01-11,37.19,37.52,37.03,37.45,25750540
2017-01-12,37.66,37.70,37.15,37.30,21780980
2017-01-13,37.25,37.33,37.09,37.19,19793902
2017-01-17,37.30,37.51,37.27,37.42,19535684
2017-01-18,37.22,37.44,37.17,37.34,17444914
2017-01-19,37.34,37.35,37.04,37.13,17987444
2017-01-20,37.37,37.49,37.15,37.27,18344516
2017-01-23,37.10,37.17,36.70,36.88,30392700
2017-01-24,37.02,37.44,36.95,37.28,23655920
2017-01-25,37.29,37.59,37.28,37.48,18796722
2017-01-26,37.59,37.66,37.42,37.51,17286338
2017-01-27,37.27,37.31,37.01,37.12,19883234
2017-01-30,36.95,36.97,36.18,36.44,26553380
2017-01-31,36.45,36.51,36.06,36.45,28013220
2017-02-01,36.65,36.69,35.95,36.18,36831620
2017-02-02,36.24,36.45,35.95,36.38,25757980
2017-02-03,36.53,36.89,36.31,36.70,23653160
2017-02-06,36.76,36.83,36.28,36.39,21025780
