date,open,high,low,close,volume
2016-09-15,31.83,32.05,31.67,32.02,1512794
2016-09-16,32.05,32.05,31.72,31.91,2119519
2016-09-19,31.99,32.27,31.95,32.24,4188180
2016-09-20,32.47,32.47,32.18,32.18,3387107
2016-09-21,32.14,32.64,31.83,32.55,2232944
2016-09-22,32.77,33.25,32.77,33.19,1728163
2016-09-23,33.07,33.45,32.84,33.32,19150970
2016-09-26,33.15,33.44,33.13,33.39,2998941
2016-09-27,33.37,33.44,33.06,33.10,3562318
2016-09-28,33.11,33.35,33.06,33.33,4122681
2016-09-29,33.18,33.29,32.81,32.92,2674449
2016-09-30,33.01,33.28,32.73,32.77,2058021
2016-10-03,32.66,32.70,32.09,32.14,2344763
2016-10-04,32.15,32.15,31.47,31.65,3262713
2016-10-05,31.66,31.85,30.95,31.06,4848669
2016-10-06,30.98,31.33,30.63,31.12,2438750
2016-10-07,31.19,31.60,30.90,31.04,1711450
2016-10-10,31.05,31.32,31.00,31.16,2403979
2016-10-11,31.08,31.20,30.82,30.92,1768072
2016-10-12,30.97,31.36,30.93,31.36,1411699
2016-10-13,31.27,31.54,31.12,31.46,3299281
2016-10-14,31.56,31.73,31.35,31.42,2381432
2016-10-17,31.42,31.61,31.40,31.45,1148299
2016-10-18,31.65,31.81,31.54,31.61,4753162
2016-10-19,31.76,31.76,31.44,31.73,1515634
2016-10-20,31.57,31.83,31.46,31.62,1977109
2016-10-21,31.40,31.61,31.35,31.60,1295726
2016-10-24,31.65,31.96,31.54,31.64,1108723
2016-10-25,31.53,31.63,31.41,31.60,1402869
2016-10-26,31.40,31.50,30.99,31.19,1481903
2016-10-27,31.11,31.11,30.36,30.45,1408067
2016-10-28,30.55,30.78,30.43,30.53,2338168
2016-10-31,30.60,30.98,30.52,30.95,1071353
2016-11-01,30.87,30.90,30.20,30.34,3438581
2016-11-02,30.25,30.32,29.87,29.87,1699310
2016-11-03,29.82,29.92,29.68,29.74,1922500
2016-11-04,29.77,30.05,29.67,29.94,1757409
2016-11-07,30.14,30.51,30.13,30.49,2997634
2016-11-08,30.38,30.77,30.36,30.68,1513363
2016-11-09,29.68,30.24,29.48,29.99,4760945
