date,open,high,low,close,volume
2021-01-04,45.60,47.69,43.48,44.10,39630290
2021-01-05,44.13,44.99,41.62,42.34,22844820
2021-01-06,41.57,43.97,40.60,41.23,23483830
2021-01-07,42.40,45.49,42.07,44.99,19661960
2021-01-08,47.92,47.95,44.02,45.45,22085450
2021-01-11,46.31,47.24,43.60,44.36,21540010
2021-01-12,45.55,54.75,45.36,54.30,57973510
2021-01-13,53.70,54.76,50.34,51.66,28490590
2021-01-14,52.00,52.04,49.51,50.31,17764440
2021-01-15,49.33,49.67,46.66,47.82,19804560
2021-01-19,49.97,54.74,49.85,53.84,35241620
2021-01-20,55.97,58.37,50.81,52.46,32728440
2021-01-21,53.30,55.68,50.53,54.31,21380110
2021-01-22,54.58,57.58,54.20,56.39,22148330
2021-01-25,58.47,60.04,51.66,54.65,23297880
2021-01-26,54.75,56.38,52.87,54.00,12374850
2021-01-27,51.95,53.06,49.40,49.96,17383170
2021-01-28,49.72,51.26,47.76,50.16,14453430
2021-01-29,50.01,51.00,47.05,48.18,13687980
2021-02-01,51.11,51.34,47.63,49.27,15679280
2021-02-02,50.13,50.13,46.03,47.01,18144030
2021-02-03,46.99,47.99,45.86,47.52,13241490
2021-02-04,47.95,48.35,46.94,48.13,9496512
2021-02-05,48.45,48.50,46.46,46.93,10165250
2021-02-08,46.50,48.35,45.60,47.61,14524430
2021-02-09,47.56,49.17,46.08,48.75,23543840
2021-02-10,48.72,51.19,47.12,47.77,20108350
2021-02-11,48.11,48.83,46.30,47.13,11042470
2021-02-12,46.90,47.21,45.88,46.89,8116314
2021-02-16,47.03,47.35,44.43,45.01,14971710
2021-02-17,44.23,44.37,41.91,43.41,15330800
2021-02-18,41.95,42.07,39.88,41.15,16922030
2021-02-19,42.46,42.58,40.66,40.88,14144990
2021-02-22,39.74,40.47,37.80,38.00,22724830
2021-02-23,36.40,38.04,32.72,37.91,35933960
2021-02-24,37.83,39.08,35.75,38.71,17572200
2021-02-25,38.00,38.01,34.75,35.40,22154910
2021-02-26,34.98,35.82,33.00,34.11,20753880
2021-03-01,35.01,35.82,34.73,35.50,14209440
2021-03-02,33.54,33.77,31.38,31.50,28529640
2021-03-03,32.49,32.66,29.79,30.03,22459750
2021-03-04,29.87,31.38,27.34,29.36,38047980
2021-03-05,29.22,29.90,25.27,28.03,40582950
2021-03-08,29.44,30.65,26.90,26.92,40913010
2021-03-09,29.49,31.66,28.14,29.97,42181690
2021-03-10,32.05,32.47,30.12,30.70,29911630
2021-03-11,32.69,35.00,32.17,34.81,31846620
2021-03-12,32.97,35.27,32.78,35.15,25125350
2021-03-15,36.09,36.34,34.55,35.37,19711090
2021-03-16,35.74,37.39,34.82,35.93,19094240
2021-03-17,34.50,36.62,33.58,36.12,16316200
2021-03-18,35.13,36.80,34.91,35.00,14938300
2021-03-19,34.93,37.70,34.65,37.48,26259850
2021-03-22,38.06,38.39,36.77,37.88,15161370
2021-03-23,36.99,37.66,36.27,36.33,11786360
2021-03-24,36.24,36.24,30.72,30.85,31313250
2021-03-25,29.95,33.10,29.57,32.53,25407890
2021-03-26,31.58,33.05,31.08,32.14,16863720
2021-03-29,31.52,32.14,30.69,31.41,12743700
2021-03-30,30.99,33.82,30.96,33.82,20662590
2021-03-31,34.99,37.00,34.18,36.51,23285510
2021-04-01,38.87,39.24,36.65,36.95,17008030
2021-04-05,37.46,37.54,35.49,36.01,10133100
2021-04-06,35.90,37.47,35.32,37.01,9316373
2021-04-07,36.31,36.31,33.95,34.07,13035730
2021-04-08,34.89,35.77,34.47,35.45,8908251
2021-04-09,34.92,35.27,34.29,34.49,5522940
2021-04-12,34.90,36.14,33.70,33.99,11231240
2021-04-13,34.54,36.03,34.21,35.48,12183690
2021-04-14,35.85,35.95,32.69,32.89,19735180
2021-04-15,32.96,32.96,30.59,31.40,21561480
2021-04-16,30.78,31.04,30.35,30.92,13563000
2021-04-19,31.30,31.40,29.77,31.20,14845260
2021-04-20,31.30,31.84,30.35,31.27,7475398
2021-04-21,30.96,32.60,30.57,32.60,9432389
2021-04-22,32.62,33.18,31.68,32.37,11969860
2021-04-23,32.40,33.44,32.15,33.30,8924854
2021-04-26,33.50,33.59,32.23,33.00,12281210
2021-04-27,32.97,33.01,31.37,31.59,12001950
2021-04-28,31.46,32.27,31.10,31.69,7992579
2021-04-29,31.97,32.02,29.82,30.52,11607890
2021-04-30,29.90,31.00,29.43,29.91,14568380
2021-05-03,30.09,30.24,28.87,29.02,11035500
2021-05-04,28.37,29.15,27.67,28.97,14223880
2021-05-05,29.17,29.38,27.82,27.99,5176485
2021-05-06,27.64,28.20,25.77,26.38,18358660
2021-05-07,26.61,27.67,26.41,26.69,11595510
2021-05-10,26.81,26.81,25.02,25.46,13537330
2021-05-11,23.90,25.24,23.00,24.93,17145620
2021-05-12,24.87,25.67,24.53,24.76,16207910
2021-05-13,25.14,25.68,22.73,23.56,29007900
2021-05-14,24.01,25.99,23.87,25.70,14855170
2021-05-17,25.82,26.60,25.33,26.12,11256270
2021-05-18,26.50,27.78,26.06,27.32,15116030
2021-05-19,26.28,27.87,26.07,27.64,11093750
2021-05-20,28.04,29.38,27.84,28.80,14760940
2021-05-21,29.21,29.27,28.22,28.58,10035460
2021-05-24,28.61,29.54,27.69,29.13,10494050
2021-05-25,29.60,30.48,28.54,29.38,13389070
2021-05-26,29.98,32.06,29.66,31.57,17681520
2021-05-27,31.70,32.42,30.83,32.39,29431760
2021-05-28,32.17,33.09,31.85,32.13,9713253
2021-06-01,33.70,34.77,33.04,34.60,21612030
2021-06-02,34.50,36.23,34.15,35.00,17256710
2021-06-03,34.84,37.06,34.28,35.95,15989660
2021-06-04,36.37,37.73,35.90,37.11,13185860
2021-06-07,37.07,38.77,36.69,38.36,14478920
2021-06-08,38.97,40.16,38.69,39.65,21313520
2021-06-09,40.10,40.24,37.77,38.07,13997770
2021-06-10,38.20,39.17,38.03,38.61,9932320
2021-06-11,38.90,41.77,38.68,41.50,19326460
2021-06-14,41.94,43.20,41.45,42.60,14439140
2021-06-15,41.25,42.00,40.05,40.17,16102310
2021-06-16,38.87,41.26,38.64,41.03,14648890
2021-06-17,41.09,44.40,40.96,44.24,19008910
2021-06-18,44.64,45.75,44.43,45.23,34853140
2021-06-21,44.93,45.00,42.08,43.63,14259300
2021-06-22,42.45,43.55,39.71,39.99,24147350
2021-06-23,42.02,42.73,41.05,41.61,16889190
2021-06-24,42.20,42.27,40.16,40.95,14767790
2021-06-25,41.15,42.45,40.77,42.16,11366540
2021-06-28,42.40,45.53,42.36,45.31,16329370
2021-06-29,44.15,45.10,43.37,44.32,14390240
2021-06-30,43.23,44.78,43.03,44.42,22597430
2021-07-01,46.28,47.98,42.90,43.66,34419170
2021-07-02,43.81,44.12,41.51,43.74,17694970
2021-07-06,42.19,45.33,42.19,44.05,18127540
2021-07-07,43.36,44.25,40.42,41.47,28874440
2021-07-08,38.75,41.47,38.38,40.00,19139570
2021-07-09,40.36,40.69,38.87,39.92,11282620
2021-07-12,39.95,40.89,38.62,39.80,9265729
2021-07-13,39.70,40.31,38.51,39.19,8386460
2021-07-14,38.89,39.51,37.28,37.77,11170220
2021-07-15,37.49,39.30,36.92,38.51,11017100
2021-07-16,38.93,39.55,38.38,39.03,11318760
2021-07-19,38.18,39.90,37.21,39.72,10598740
2021-07-20,39.94,40.99,39.10,40.76,8123508
2021-07-21,41.62,44.42,41.37,43.87,18107760
2021-07-22,43.55,43.95,42.66,43.27,6905388
2021-07-23,41.99,42.08,39.72,41.00,11475330
2021-07-26,39.61,43.02,39.41,40.75,12377110
2021-07-27,39.34,39.83,33.86,34.70,38824170
2021-07-28,36.84,38.34,35.95,37.34,19808270
2021-07-29,38.92,39.26,37.47,38.10,9915079
2021-07-30,38.68,42.24,38.22,40.53,21732530
2021-08-02,42.50,44.12,41.81,43.39,20832570
2021-08-03,42.22,43.08,41.52,42.76,10996720
2021-08-04,44.17,45.13,43.46,43.78,10470860
2021-08-05,43.00,43.53,42.12,42.75,6351242
2021-08-06,42.91,43.07,40.37,41.22,8913326
2021-08-09,41.39,42.79,41.11,42.37,6519951
2021-08-10,42.61,43.69,41.88,42.33,5298218
2021-08-11,42.50,42.75,41.21,42.25,6232455
2021-08-12,41.56,41.56,39.88,41.02,5918857
2021-08-13,40.00,40.28,39.33,40.15,5669577
2021-08-16,38.61,38.88,37.06,37.51,9739867
2021-08-17,36.06,39.14,35.80,37.87,9006662
2021-08-18,38.46,40.37,38.01,39.50,8348263
2021-08-19,38.50,39.09,37.50,37.57,6505831
2021-08-20,38.02,39.95,37.90,38.69,7542749
2021-08-23,38.97,39.80,38.25,39.69,6839117
2021-08-24,40.19,40.78,39.61,40.55,7800146
2021-08-25,40.39,41.22,39.81,40.87,6770151
2021-08-26,40.00,42.45,39.85,40.62,12048110
2021-08-27,41.68,41.68,40.16,40.28,6821837
2021-08-30,40.45,40.85,39.02,40.75,6740815
2021-08-31,40.55,42.50,40.42,42.50,11999180
2021-09-01,41.10,42.04,40.48,40.78,11686450
2021-09-02,41.12,41.64,40.52,40.79,6850554
2021-09-03,40.58,40.62,39.36,39.75,6001410
2021-09-07,40.21,42.50,40.18,41.77,13189830
2021-09-08,40.70,40.95,38.74,39.26,13391780
2021-09-09,39.14,39.74,38.05,39.37,5636822
2021-09-10,39.67,40.65,38.44,38.54,7484019
2021-09-13,38.89,38.95,37.25,38.33,6863144
2021-09-14,38.30,39.40,38.03,38.44,5594386
2021-09-15,38.44,38.65,36.73,38.10,12015880
2021-09-16,37.40,38.01,36.95,37.59,5948318
2021-09-17,37.99,39.12,37.70,39.01,11160120
2021-09-20,37.50,37.71,36.01,36.59,8088530
2021-09-21,37.00,37.31,36.48,36.74,6686396
2021-09-22,37.00,37.53,36.60,36.95,5501241
2021-09-23,37.00,37.12,35.91,36.81,8485665
2021-09-24,36.47,36.86,35.24,35.34,5852195
2021-09-27,35.18,36.30,34.39,36.12,9133253
2021-09-28,36.07,36.25,34.58,34.67,5914061
2021-09-29,34.58,35.81,34.31,34.55,7095461
2021-09-30,35.03,36.11,34.82,35.54,6461511
2021-10-01,36.75,36.76,35.08,35.46,7770617
2021-10-04,35.18,35.20,33.52,34.11,6557236
2021-10-05,34.26,35.74,34.26,35.52,5425304
2021-10-06,34.85,36.12,34.72,35.75,5469633
2021-10-07,36.90,38.88,36.84,38.26,12748700
2021-10-08,38.40,38.48,37.34,37.66,4624220
2021-10-11,38.00,38.43,37.35,37.42,4319034
2021-10-12,37.75,38.39,37.20,37.71,5082501
2021-10-13,38.15,40.00,37.88,39.89,9307190
2021-10-14,39.11,40.20,38.83,39.39,5407677
2021-10-15,40.42,43.00,40.23,42.79,17186030
2021-10-18,42.22,43.84,41.61,43.21,9186238
2021-10-19,43.75,44.58,42.92,43.15,8054994
2021-10-20,42.80,43.29,42.11,42.94,5703222
2021-10-21,42.49,43.89,42.28,43.50,5511163
2021-10-22,43.64,44.50,42.89,43.14,7525395
2021-10-25,44.75,48.42,44.24,48.09,28325800
2021-10-26,47.39,49.49,44.58,45.34,19877530
2021-10-27,46.41,48.07,45.77,45.90,11521270
2021-10-28,47.23,47.84,45.22,46.24,9398341
2021-10-29,46.00,46.85,45.65,46.63,6551467
2021-11-01,48.70,49.55,46.80,47.87,20155050
2021-11-02,47.20,48.30,45.67,46.90,8759737
2021-11-03,46.50,46.85,45.75,46.64,5303832
2021-11-04,48.00,48.84,47.22,47.84,11693030
2021-11-05,48.07,48.08,45.76,46.39,9628343
2021-11-08,45.41,48.17,45.05,47.11,8396646
2021-11-09,46.93,47.00,44.13,44.30,9595551
2021-11-10,44.38,45.74,43.83,44.33,7692642
2021-11-11,45.70,47.95,45.01,47.58,8959758
2021-11-12,49.00,50.40,47.66,48.53,16642410
2021-11-15,48.53,49.04,46.88,47.50,6449491
2021-11-16,48.40,50.10,47.73,50.00,13366460
2021-11-17,50.00,50.00,47.84,48.30,8941516
2021-11-18,48.07,48.65,45.88,47.27,9414944
2021-11-19,47.46,48.32,46.35,46.89,7686247
2021-11-22,47.87,50.00,47.11,47.39,14876260
2021-11-23,49.00,54.00,47.50,51.30,36340020
2021-11-24,51.30,54.99,50.28,54.37,26702650
2021-11-26,51.63,52.84,50.16,51.11,11333570
2021-11-29,53.01,54.00,50.61,51.36,15403720
2021-11-30,51.20,55.40,51.20,55.00,22751340
2021-12-01,56.08,56.45,50.80,51.14,20798830
2021-12-02,52.50,53.92,44.81,48.29,24915160
2021-12-03,47.05,48.25,42.78,43.80,29079900
2021-12-06,44.50,46.49,41.15,46.28,19762210
2021-12-07,47.76,48.37,46.06,47.40,12192930
2021-12-08,48.00,48.36,46.14,47.88,7994892
2021-12-09,47.51,48.25,45.51,46.13,8557765
2021-12-10,45.80,47.18,45.34,46.83,6577550
2021-12-13,45.81,47.30,45.20,45.32,8210674
2021-12-14,43.81,44.89,43.19,44.47,9066987
2021-12-15,43.80,44.08,40.63,43.18,13774000
2021-12-16,43.93,44.19,41.80,42.27,7746742
