date,open,high,low,close,volume
2021-01-04,152.71,153.51,147.93,150.25,1229012
2021-01-05,150.13,154.20,149.83,152.85,969824
2021-01-06,152.69,157.57,152.69,157.20,1383329
2021-01-07,157.28,158.28,155.41,156.27,1201562
2021-01-08,157.24,158.81,155.35,155.93,1222397
2021-01-11,153.80,156.11,152.61,155.97,1201729
2021-01-12,155.35,157.00,154.05,156.79,1176974
2021-01-13,157.41,160.86,156.52,159.85,1675412
2021-01-14,159.29,162.77,159.29,159.53,1145693
2021-01-15,159.09,159.59,156.49,157.07,1409240
2021-01-19,158.22,158.53,156.26,156.89,1007297
2021-01-20,156.91,161.00,155.69,160.35,1184528
2021-01-21,160.95,162.35,159.44,159.86,1046115
2021-01-22,158.76,159.64,157.53,157.95,974450
2021-01-25,157.49,157.94,153.50,156.28,1343413
2021-01-26,157.20,158.16,154.33,155.21,842553
2021-01-27,152.28,154.72,149.13,149.70,1890046
2021-01-28,151.27,156.04,149.98,154.04,1540214
2021-01-29,153.03,153.81,148.96,150.75,1621543
2021-02-01,151.92,153.04,149.34,150.97,1421975
2021-02-02,152.21,157.62,151.92,155.48,1712543
2021-02-03,154.78,156.01,152.89,155.54,941950
2021-02-04,156.88,160.85,155.23,157.67,1812382
2021-02-05,166.81,166.81,155.46,156.85,3544859
2021-02-08,157.12,158.12,154.26,156.77,1327262
2021-02-09,156.76,157.21,154.72,156.12,1195123
2021-02-10,156.96,159.35,156.48,157.29,1644314
2021-02-11,158.42,160.76,156.96,159.12,1105320
2021-02-12,158.18,159.41,157.29,158.31,1206228
2021-02-16,158.70,158.70,156.48,157.32,921904
2021-02-17,156.43,156.52,154.13,155.56,951116
2021-02-18,154.69,155.06,151.54,153.83,868138
2021-02-19,154.03,154.93,152.94,153.69,806558
2021-02-22,152.67,158.10,151.88,157.29,1277223
2021-02-23,158.64,161.39,157.45,158.79,1824789
2021-02-24,159.00,162.07,158.86,160.58,1017965
2021-02-25,159.85,162.22,159.12,161.37,1435723
2021-02-26,162.10,163.19,158.40,159.96,1570661
2021-03-01,161.88,163.29,159.57,160.29,1456602
2021-03-02,160.22,160.60,157.14,158.12,1370713
2021-03-03,158.19,158.69,154.84,156.71,2112606
2021-03-04,156.69,156.69,151.52,153.28,1913937
2021-03-05,154.93,156.39,151.17,155.48,1492040
2021-03-08,155.76,157.84,153.44,153.52,2266070
2021-03-09,154.59,157.49,153.54,153.68,1289508
2021-03-10,154.94,158.26,153.77,157.34,1055400
2021-03-11,157.25,158.56,155.98,157.25,1372815
2021-03-12,156.91,160.33,156.66,160.06,1863517
2021-03-15,160.92,162.34,157.51,158.40,1088556
2021-03-16,157.94,157.94,155.46,157.20,1008746
2021-03-17,156.58,158.38,154.92,157.47,920322
2021-03-18,156.93,158.01,155.47,155.87,693353
2021-03-19,155.44,158.57,154.64,157.11,1412910
2021-03-22,156.64,157.93,156.06,157.19,667462
2021-03-23,156.49,157.10,152.23,153.17,979910
2021-03-24,154.24,155.62,153.58,154.45,694430
2021-03-25,155.31,155.31,151.93,154.88,1081864
2021-03-26,155.34,158.42,154.30,158.25,655775
2021-03-29,157.14,158.20,155.89,157.16,667083
2021-03-30,156.00,158.44,155.79,158.15,762880
2021-03-31,159.50,160.86,156.91,157.03,1259091
2021-04-01,157.03,157.51,155.35,156.96,788484
2021-04-05,158.68,160.02,157.89,159.60,788869
2021-04-06,159.90,161.73,159.37,160.40,795838
2021-04-07,160.51,161.12,158.21,159.65,691420
2021-04-08,160.96,162.21,160.47,161.41,804703
2021-04-09,162.67,166.35,162.31,166.26,1508430
2021-04-12,165.48,166.58,164.50,165.13,1293731
2021-04-13,164.30,165.92,164.00,165.26,892190
2021-04-14,165.70,167.28,164.86,165.11,904795
2021-04-15,165.39,169.06,165.39,168.49,945595
2021-04-16,169.45,169.92,167.14,168.61,723354
2021-04-19,168.65,169.73,166.84,169.25,1107620
2021-04-20,169.25,171.85,168.94,170.50,1172773
2021-04-21,170.73,174.07,170.07,173.29,1089040
2021-04-22,173.22,175.78,172.12,174.00,1009196
2021-04-23,173.65,175.47,173.13,174.24,909424
2021-04-26,174.82,174.82,172.13,172.38,820952
2021-04-27,172.48,174.37,171.24,172.99,819459
2021-04-28,173.28,175.24,172.47,175.10,977308
2021-04-29,175.84,176.93,173.69,175.21,895950
2021-04-30,174.70,175.05,172.73,173.79,1291455
2021-05-03,175.10,175.36,173.61,174.55,1292929
2021-05-04,170.53,172.71,166.88,169.64,1755554
2021-05-05,170.42,171.44,167.78,170.25,748658
2021-05-06,169.75,170.39,166.52,169.93,760501
2021-05-07,169.74,171.51,169.03,169.21,991444
2021-05-10,169.37,169.88,167.98,168.68,1162631
2021-05-11,168.44,168.57,163.89,164.36,1407964
2021-05-12,162.92,163.80,160.54,160.65,1432303
2021-05-13,160.95,163.25,160.82,162.48,1136264
2021-05-14,163.00,165.28,162.11,164.09,565606
2021-05-17,163.67,164.17,162.34,162.66,598734
2021-05-18,162.62,164.55,162.59,163.37,862741
2021-05-19,161.91,162.72,160.69,162.61,738401
2021-05-20,162.66,164.47,162.27,163.75,767960
2021-05-21,164.80,166.28,163.95,164.14,824417
2021-05-24,165.41,165.82,164.42,164.67,783540
2021-05-25,165.57,166.28,164.23,164.57,633627
2021-05-26,163.51,163.95,159.97,161.06,1383491
2021-05-27,161.86,164.73,161.39,164.44,1839514
2021-05-28,165.73,166.29,164.59,165.13,1366969
2021-06-01,166.25,166.75,162.83,163.06,914973
2021-06-02,162.94,163.04,157.24,158.00,1920047
2021-06-03,157.33,157.79,154.90,156.90,1992247
2021-06-04,157.71,157.71,155.94,156.10,2068632
2021-06-07,156.93,156.96,154.41,154.90,1783377
2021-06-08,155.86,155.89,152.77,154.54,1062476
2021-06-09,154.72,155.66,154.28,155.21,785485
2021-06-10,155.53,156.83,155.48,156.23,854687
2021-06-11,156.09,156.25,154.39,155.27,1112939
2021-06-14,155.20,155.70,153.71,154.55,1271762
2021-06-15,154.84,156.21,154.10,155.33,1376843
2021-06-16,155.59,156.19,153.50,155.02,1426162
2021-06-17,154.71,157.85,154.71,157.34,1367058
2021-06-18,156.35,157.00,154.99,155.49,2238958
2021-06-21,156.41,160.95,155.75,160.37,1580142
2021-06-22,160.68,163.97,159.68,163.21,2081974
2021-06-23,163.21,163.54,161.33,161.34,1187364
2021-06-24,162.25,162.25,160.49,161.26,1090842
2021-06-25,161.40,164.40,161.40,162.69,1072442
2021-06-28,162.94,162.94,158.82,160.59,1653804
2021-06-29,160.58,160.93,157.94,158.11,1100621
2021-06-30,157.58,158.73,157.00,157.76,1241144
2021-07-01,158.43,160.07,157.65,160.04,1136200
2021-07-02,159.88,160.72,159.02,160.41,893758
2021-07-06,159.75,160.35,158.87,159.68,1217953
2021-07-07,160.08,160.47,157.31,158.03,1483608
2021-07-08,156.45,157.18,154.95,156.23,1060967
2021-07-09,156.22,157.13,155.29,156.28,723792
2021-07-12,155.73,157.34,155.01,156.72,751470
2021-07-13,156.46,157.15,153.67,154.05,911932
2021-07-14,154.45,154.73,152.27,152.62,1137545
2021-07-15,151.75,152.37,149.58,150.19,1480345
