date,open,high,low,close,volume
2021-01-04,136.39,137.91,131.49,136.51,907303
2021-01-05,135.03,142.50,134.27,139.60,732668
2021-01-06,138.00,141.03,135.52,138.22,624308
2021-01-07,139.71,147.18,139.68,146.93,1188802
2021-01-08,149.05,154.95,148.26,150.02,713947
2021-01-11,149.66,152.74,146.14,149.27,441666
2021-01-12,148.75,154.35,148.75,152.21,591414
2021-01-13,152.30,154.10,148.94,149.88,488062
2021-01-14,150.35,152.29,149.16,150.84,358759
2021-01-15,150.80,151.37,142.78,143.90,468706
2021-01-19,146.16,151.12,145.26,149.98,352751
2021-01-20,153.60,157.66,152.80,156.64,1179940
2021-01-21,158.00,158.80,152.04,152.60,739416
2021-01-22,151.98,153.21,150.40,152.05,283264
2021-01-25,155.58,159.16,149.21,152.88,469604
2021-01-26,153.92,155.38,145.08,145.68,452462
2021-01-27,142.71,142.86,132.36,136.09,1010595
2021-01-28,138.00,143.71,136.09,141.72,748866
2021-01-29,141.72,143.84,136.79,138.72,467054
2021-02-01,140.81,146.57,139.14,146.33,451089
2021-02-02,149.58,154.47,148.21,153.39,405933
2021-02-03,154.90,156.35,151.45,153.29,288042
2021-02-04,154.20,156.96,152.68,156.85,261514
2021-02-05,161.68,167.12,161.10,163.76,971719
2021-02-08,165.40,169.27,163.40,169.08,1361416
2021-02-09,168.01,175.60,166.67,172.93,891837
2021-02-10,174.15,174.66,166.00,171.71,989712
2021-02-11,189.67,205.70,188.27,200.60,2211042
2021-02-12,198.78,208.58,196.70,202.94,939937
2021-02-16,208.12,212.40,202.85,203.79,959444
2021-02-17,200.01,203.73,188.76,193.55,1175416
2021-02-18,189.10,190.41,182.32,187.15,788748
2021-02-19,190.78,197.90,190.19,191.46,1052119
2021-02-22,185.05,185.98,173.33,173.73,1465491
2021-02-23,165.08,177.33,158.11,175.08,934441
2021-02-24,170.99,176.97,169.02,172.22,661042
2021-02-25,171.00,175.50,158.26,159.33,716290
2021-02-26,162.26,171.60,158.96,169.82,1626338
2021-03-01,175.00,177.72,172.51,175.85,754664
2021-03-02,177.81,178.53,168.89,169.01,690873
2021-03-03,169.28,169.97,152.58,153.04,1194979
2021-03-04,150.10,153.69,132.03,137.63,2767768
2021-03-05,139.24,142.01,122.71,139.97,1941422
2021-03-08,141.16,144.79,128.52,130.04,1039484
2021-03-09,141.64,145.67,138.09,142.56,1116258
2021-03-10,148.88,153.22,145.52,149.02,996961
2021-03-11,157.59,163.00,151.25,161.10,926740
2021-03-12,154.47,158.00,151.00,156.83,554938
2021-03-15,156.83,158.07,153.01,155.99,592288
2021-03-16,159.88,162.00,147.09,150.23,679446
2021-03-17,145.33,151.10,140.01,148.97,938020
2021-03-18,144.40,145.00,136.66,137.80,767277
2021-03-19,137.36,142.21,135.82,141.71,902648
2021-03-22,144.30,146.30,141.51,143.89,770742
2021-03-23,144.15,144.98,138.96,140.88,441992
2021-03-24,143.39,143.85,132.87,133.22,473212
2021-03-25,129.37,134.22,126.61,131.35,703218
2021-03-26,131.30,136.52,126.56,132.08,1140324
2021-03-29,130.76,131.82,122.13,122.88,674082
2021-03-30,122.03,128.13,120.52,126.56,688896
2021-03-31,128.46,132.84,128.46,131.38,824758
2021-04-01,137.24,139.80,134.49,135.42,522828
2021-04-05,138.63,138.97,132.91,137.21,596612
2021-04-06,138.60,145.62,137.51,143.77,709212
2021-04-07,143.06,144.53,140.08,141.37,405548
2021-04-08,143.00,150.13,142.78,149.26,604983
2021-04-09,147.56,148.09,143.89,147.60,488916
2021-04-12,147.00,147.11,140.42,144.68,326432
2021-04-13,146.28,147.51,143.03,146.13,319148
2021-04-14,147.69,149.37,138.73,139.28,411754
2021-04-15,141.38,143.56,139.66,143.25,496068
2021-04-16,143.27,143.27,135.68,136.14,675490
2021-04-19,135.42,136.99,131.43,134.59,349765
2021-04-20,133.00,136.15,128.85,131.68,387295
2021-04-21,129.93,137.15,128.29,137.04,393658
2021-04-22,138.29,138.94,133.00,134.14,381237
